Chile, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0             11482.00        14355.00        25837.00
1992-1999        1               861.00         1129.00         1990.00
1992-1999        2               650.00          776.00         1426.00
1992-1999        3               409.00          577.00          986.00
1992-1999        4               320.00          413.00          733.00
1992-1999        5               290.00          390.00          680.00
1992-1999        6               248.00          329.00          577.00
1992-1999        7               205.00          337.00          542.00
1992-1999        8               204.00          312.00          516.00
1992-1999        9               214.00          292.00          506.00
1992-1999       10               211.00          297.00          508.00
1992-1999       11               211.00          310.00          521.00
1992-1999       12               197.00          285.00          482.00
1992-1999       13               215.00          348.00          563.00
1992-1999       14               237.00          474.00          711.00
1992-1999       15               289.00          538.00          827.00
1992-1999       16               327.00          678.00         1005.00
1992-1999       17               326.00          862.00         1188.00
1992-1999       18               357.00          955.00         1312.00
1992-1999       19               344.00         1126.00         1470.00
1992-1999       20               380.00         1302.00         1682.00
1992-1999       21               370.00         1347.00         1717.00
1992-1999       22               396.00         1477.00         1873.00
1992-1999       23               406.00         1533.00         1939.00
1992-1999       24               373.00         1519.00         1892.00
1992-1999       25               400.00         1570.00         1970.00
1992-1999       26               429.00         1650.00         2079.00
1992-1999       27               447.00         1644.00         2091.00
1992-1999       28               491.00         1683.00         2174.00
1992-1999       29               516.00         1669.00         2185.00
1992-1999       30               537.00         1792.00         2329.00
1992-1999       31               562.00         1746.00         2308.00
1992-1999       32               605.00         1856.00         2461.00
1992-1999       33               637.00         1855.00         2492.00
1992-1999       34               709.00         1867.00         2576.00
1992-1999       35               776.00         1914.00         2690.00
1992-1999       36               747.00         1906.00         2653.00
1992-1999       37               830.00         1948.00         2778.00
1992-1999       38               939.00         1922.00         2861.00
1992-1999       39               937.00         1954.00         2891.00
1992-1999       40               946.00         2035.00         2981.00
1992-1999       41              1048.00         2113.00         3161.00
1992-1999       42              1069.00         2266.00         3335.00
1992-1999       43              1122.00         2244.00         3366.00
1992-1999       44              1259.00         2290.00         3549.00
1992-1999       45              1317.00         2481.00         3798.00
1992-1999       46              1406.00         2568.00         3974.00
1992-1999       47              1503.00         2596.00         4099.00
1992-1999       48              1600.00         2823.00         4423.00
1992-1999       49              1723.00         2965.00         4688.00
1992-1999       50              1783.00         3162.00         4945.00
1992-1999       51              1960.00         3204.00         5164.00
1992-1999       52              2002.00         3432.00         5434.00
1992-1999       53              2206.00         3578.00         5784.00
1992-1999       54              2232.00         3815.00         6047.00
1992-1999       55              2337.00         4085.00         6422.00
1992-1999       56              2462.00         4186.00         6648.00
1992-1999       57              2591.00         4193.00         6784.00
1992-1999       58              2671.00         4542.00         7213.00
1992-1999       59              2896.00         4767.00         7663.00
1992-1999       60              2995.00         4952.00         7947.00
1992-1999       61              3202.00         5336.00         8538.00
1992-1999       62              3586.00         5707.00         9293.00
1992-1999       63              3916.00         6113.00        10029.00
1992-1999       64              4201.00         6428.00        10629.00
1992-1999       65              4514.00         6797.00        11311.00
1992-1999       66              4723.00         7069.00        11792.00
1992-1999       67              5009.00         7530.00        12539.00
1992-1999       68              5098.00         7611.00        12709.00
1992-1999       69              5586.00         7750.00        13336.00
1992-1999       70              5634.00         7977.00        13611.00
1992-1999       71              5885.00         7927.00        13812.00
1992-1999       72              6097.00         8075.00        14172.00
1992-1999       73              6161.00         7914.00        14075.00
1992-1999       74              6481.00         8060.00        14541.00
1992-1999       75              6836.00         8185.00        15021.00
1992-1999       76              7093.00         8162.00        15255.00
1992-1999       77              7296.00         7885.00        15181.00
1992-1999       78              7817.00         8158.00        15975.00
1992-1999       79              8060.00         8032.00        16092.00
1992-1999       80              8257.00         7940.00        16197.00
1992-1999       81              8511.00         7622.00        16133.00
1992-1999       82              8688.00         7423.00        16111.00
1992-1999       83              8471.00         7209.00        15680.00
1992-1999       84              8311.00         6605.00        14916.00
1992-1999       85              8281.00         6190.00        14471.00
1992-1999       86              7654.00         5534.00        13188.00
1992-1999       87              7347.00         4902.00        12249.00
1992-1999       88              6756.00         4113.00        10869.00
1992-1999       89              6247.00         3543.00         9790.00
1992-1999       90              5417.00         2973.00         8390.00
1992-1999       91              4804.00         2538.00         7342.00
1992-1999       92              4150.00         1929.00         6079.00
1992-1999       93              3286.00         1531.00         4817.00
1992-1999       94              2711.00         1234.00         3945.00
1992-1999       95              2204.00          856.00         3060.00
1992-1999       96              1582.00          603.00         2185.00
1992-1999       97              1231.00          467.00         1698.00
1992-1999       98               887.00          298.00         1185.00
1992-1999       99               663.00          230.00          893.00
1992-1999      100               449.00          124.00          573.00
1992-1999      101               288.00           78.00          366.00
1992-1999      102               185.00           70.00          255.00
1992-1999      103               113.00           28.00          141.00
1992-1999      104                82.00           24.00          106.00
1992-1999      105                55.38           20.53           75.91
1992-1999      106                33.17           11.96           45.13
1992-1999      107                19.50            5.88           25.38
1992-1999      108                11.10            2.36           13.46
1992-1999      109                 5.59            0.25            5.84
1992-1999      110+                1.29            0.00            1.29
2000-2008        0              8040.96        10093.96        18134.92
2000-2008        1               621.00          816.00         1437.00
2000-2008        2               378.00          489.00          867.00
2000-2008        3               277.00          348.00          625.00
2000-2008        4               231.00          304.00          535.00
2000-2008        5               197.00          261.00          458.00
2000-2008        6               191.00          260.00          451.00
2000-2008        7               203.99          245.00          448.99
2000-2008        8               143.99          269.00          412.99
2000-2008        9               182.00          261.00          443.00
2000-2008       10               184.00          263.00          447.00
2000-2008       11               205.00          282.00          487.00
2000-2008       12               220.00          295.00          515.00
2000-2008       13               231.99          348.00          579.99
2000-2008       14               277.00          443.00          720.00
2000-2008       15               308.00          583.00          891.00
2000-2008       16               333.00          740.00         1073.00
2000-2008       17               380.99          925.00         1305.99
2000-2008       18               350.00         1111.00         1461.00
2000-2008       19               373.99         1244.00         1617.99
2000-2008       20               382.00         1341.98         1723.98
2000-2008       21               354.00         1382.99         1736.99
2000-2008       22               394.00         1385.00         1779.00
2000-2008       23               401.00         1380.99         1781.99
2000-2008       24               386.00         1445.00         1831.00
2000-2008       25               410.00         1490.00         1900.00
2000-2008       26               430.00         1475.98         1905.98
2000-2008       27               450.99         1449.99         1900.98
2000-2008       28               484.99         1527.99         2012.98
2000-2008       29               467.00         1558.99         2025.99
2000-2008       30               475.00         1623.00         2098.00
2000-2008       31               517.00         1710.99         2227.99
2000-2008       32               582.00         1772.98         2354.98
2000-2008       33               631.00         1799.98         2430.98
2000-2008       34               730.00         1915.00         2645.00
2000-2008       35               701.00         1904.99         2605.99
2000-2008       36               827.00         2055.99         2882.99
2000-2008       37               865.99         2081.98         2947.97
2000-2008       38               916.00         2263.00         3179.00
2000-2008       39              1014.99         2385.99         3400.98
2000-2008       40              1116.99         2491.00         3607.99
2000-2008       41              1257.00         2698.99         3955.99
2000-2008       42              1279.99         2635.00         3914.99
2000-2008       43              1389.98         2936.98         4326.96
2000-2008       44              1487.00         2966.98         4453.98
2000-2008       45              1612.99         3186.99         4799.98
2000-2008       46              1692.98         3281.00         4973.98
2000-2008       47              1911.98         3308.99         5220.97
2000-2008       48              1878.99         3382.98         5261.97
2000-2008       49              2036.99         3648.98         5685.97
2000-2008       50              2154.98         3734.98         5889.96
2000-2008       51              2226.98         3989.98         6216.96
2000-2008       52              2363.98         4098.98         6462.96
2000-2008       53              2583.98         4289.98         6873.96
2000-2008       54              2651.98         4581.98         7233.96
2000-2008       55              2726.99         4667.98         7394.97
2000-2008       56              3014.98         5047.97         8062.95
2000-2008       57              3159.98         5287.97         8447.95
2000-2008       58              3396.98         5726.98         9123.96
2000-2008       59              3498.98         5872.98         9371.96
2000-2008       60              3857.98         6329.96        10187.94
2000-2008       61              4008.98         6519.97        10528.95
2000-2008       62              4279.98         6774.97        11054.95
2000-2008       63              4340.98         6892.96        11233.94
2000-2008       64              4645.98         7322.96        11968.94
2000-2008       65              4961.96         7482.96        12444.92
2000-2008       66              5174.97         7860.97        13035.94
2000-2008       67              5350.98         8213.95        13564.93
2000-2008       68              5759.97         8451.96        14211.93
2000-2008       69              5951.96         8878.96        14830.92
2000-2008       70              6391.96         9321.96        15713.92
2000-2008       71              6885.97         9840.96        16726.93
2000-2008       72              7577.96        10200.95        17778.91
2000-2008       73              7823.96        10616.96        18440.92
2000-2008       74              8170.96        10936.94        19107.90
2000-2008       75              8823.96        10899.94        19723.90
2000-2008       76              9109.95        11102.95        20212.90
2000-2008       77              9476.94        10894.95        20371.89
2000-2008       78              9736.94        10822.94        20559.88
2000-2008       79              9933.95        10528.94        20462.89
2000-2008       80             10189.95        10480.95        20670.90
2000-2008       81             10057.94         9637.94        19695.88
2000-2008       82             10206.94         9410.94        19617.88
2000-2008       83             10777.94         9032.96        19810.90
2000-2008       84             10416.94         8593.95        19010.89
2000-2008       85             10402.94         8035.95        18438.89
2000-2008       86             10400.94         7484.97        17885.91
2000-2008       87             10149.95         6747.97        16897.92
2000-2008       88              9801.95         6214.97        16016.92
2000-2008       89              9229.95         5552.97        14782.92
2000-2008       90              8695.95         4657.98        13353.93
2000-2008       91              7835.95         4069.98        11905.93
2000-2008       92              6849.96         3312.99        10162.95
2000-2008       93              6066.96         2730.99         8797.95
2000-2008       94              5070.96         2180.98         7251.94
2000-2008       95              3994.96         1653.98         5648.94
2000-2008       96              3165.98         1133.00         4298.98
2000-2008       97              2419.98          828.00         3247.98
2000-2008       98              1819.98          585.00         2404.98
2000-2008       99              1253.98          386.00         1639.98
2000-2008      100               965.99          281.00         1246.99
2000-2008      101               576.00          155.00          731.00
2000-2008      102               388.00           91.00          479.00
2000-2008      103               256.00           52.00          308.00
2000-2008      104               150.00           31.00          181.00
2000-2008      105                99.18           25.71          124.89
2000-2008      106                56.79           13.62           70.41
2000-2008      107                31.38            5.76           37.14
2000-2008      108                16.77            1.58           18.35
2000-2008      109                 8.84            0.29            9.13
2000-2008      110+                3.07            0.00            3.07
