Greece, Deaths (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1981-1989        0              6256.22         8294.31        14550.53
1981-1989        1               310.02          359.01          669.03
1981-1989        2               226.01          297.00          523.01
1981-1989        3               179.00          244.01          423.01
1981-1989        4               145.00          226.03          371.03
1981-1989        5               141.00          161.00          302.00
1981-1989        6               135.00          175.02          310.02
1981-1989        7               127.01          180.00          307.01
1981-1989        8               110.00          166.01          276.01
1981-1989        9               118.00          177.01          295.01
1981-1989       10               116.00          163.00          279.00
1981-1989       11               102.00          149.01          251.01
1981-1989       12                98.00          181.00          279.00
1981-1989       13               120.00          202.00          322.00
1981-1989       14               141.00          265.03          406.03
1981-1989       15               186.00          350.02          536.02
1981-1989       16               207.01          466.01          673.02
1981-1989       17               212.00          614.01          826.01
1981-1989       18               240.01          694.03          934.04
1981-1989       19               236.00          719.01          955.01
1981-1989       20               251.01          818.04         1069.05
1981-1989       21               272.01          814.01         1086.02
1981-1989       22               262.01          808.02         1070.03
1981-1989       23               281.00          844.02         1125.02
1981-1989       24               223.01          789.02         1012.03
1981-1989       25               253.01          705.01          958.02
1981-1989       26               259.00          670.03          929.03
1981-1989       27               253.02          735.03          988.05
1981-1989       28               293.02          663.01          956.03
1981-1989       29               282.02          633.02          915.04
1981-1989       30               304.01          697.02         1001.03
1981-1989       31               289.01          663.02          952.03
1981-1989       32               332.00          615.01          947.01
1981-1989       33               313.00          696.03         1009.03
1981-1989       34               368.01          706.03         1074.04
1981-1989       35               426.02          746.02         1172.04
1981-1989       36               407.01          803.03         1210.04
1981-1989       37               424.02          787.02         1211.04
1981-1989       38               458.01          781.03         1239.04
1981-1989       39               443.02          938.03         1381.05
1981-1989       40               544.01          998.02         1542.03
1981-1989       41               582.01         1005.04         1587.05
1981-1989       42               588.02         1050.04         1638.06
1981-1989       43               693.02         1280.05         1973.07
1981-1989       44               744.02         1288.04         2032.06
1981-1989       45               798.02         1533.05         2331.07
1981-1989       46               937.03         1600.05         2537.08
1981-1989       47              1004.03         1824.06         2828.09
1981-1989       48              1097.04         2021.09         3118.13
1981-1989       49              1252.04         2335.08         3587.12
1981-1989       50              1463.04         2685.08         4148.12
1981-1989       51              1535.05         2886.08         4421.13
1981-1989       52              1757.06         3219.10         4976.16
1981-1989       53              1841.06         3506.13         5347.19
1981-1989       54              2026.07         3896.13         5922.20
1981-1989       55              2343.05         4438.15         6781.20
1981-1989       56              2401.06         4657.15         7058.21
1981-1989       57              2557.07         4985.16         7542.23
1981-1989       58              2667.08         5516.19         8183.27
1981-1989       59              2922.08         5647.18         8569.26
1981-1989       60              3151.09         6025.20         9176.29
1981-1989       61              3272.09         6265.21         9537.30
1981-1989       62              3541.10         6404.20         9945.30
1981-1989       63              3755.12         6623.21        10378.33
1981-1989       64              4016.12         6725.20        10741.32
1981-1989       65              4523.14         7264.24        11787.38
1981-1989       66              4953.14         7605.23        12558.37
1981-1989       67              5401.17         8262.28        13663.45
1981-1989       68              6154.19         9059.34        15213.53
1981-1989       69              6937.19         9895.35        16832.54
1981-1989       70              7857.24        10775.39        18632.63
1981-1989       71              9096.26        11354.39        20450.65
1981-1989       72              9712.30        12186.42        21898.72
1981-1989       73             10648.33        12985.43        23633.76
1981-1989       74             11577.30        13549.44        25126.74
1981-1989       75             12653.37        13996.45        26649.82
1981-1989       76             13669.38        14574.49        28243.87
1981-1989       77             14091.38        14607.48        28698.86
1981-1989       78             14936.45        14696.51        29632.96
