Croatia, Deaths (period 1x10), 	Last modified: 20 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2002-2009        0               877.12         1022.37         1899.49
2002-2009        1                55.00           69.00          124.00
2002-2009        2                27.00           51.00           78.00
2002-2009        3                25.00           45.00           70.00
2002-2009        4                19.00           39.00           58.00
2002-2009        5                24.00           26.00           50.00
2002-2009        6                21.00           32.00           53.00
2002-2009        7                17.00           31.00           48.00
2002-2009        8                23.00           25.00           48.00
2002-2009        9                20.00           32.00           52.00
2002-2009       10                17.00           32.00           49.00
2002-2009       11                27.00           27.00           54.00
2002-2009       12                10.00           30.00           40.00
2002-2009       13                20.00           43.00           63.00
2002-2009       14                25.00           61.00           86.00
2002-2009       15                32.00           75.00          107.00
2002-2009       16                48.00          113.01          161.01
2002-2009       17                53.00          145.03          198.03
2002-2009       18                79.00          186.04          265.04
2002-2009       19                75.00          235.10          310.10
2002-2009       20                68.00          244.09          312.09
2002-2009       21                66.00          262.10          328.10
2002-2009       22                73.00          245.08          318.08
2002-2009       23                64.00          277.10          341.10
2002-2009       24                79.00          275.10          354.10
2002-2009       25                74.00          252.08          326.08
2002-2009       26                62.00          298.12          360.12
2002-2009       27                64.00          262.09          326.09
2002-2009       28                79.00          264.09          343.09
2002-2009       29                80.00          250.11          330.11
2002-2009       30                94.00          293.11          387.11
2002-2009       31                76.00          266.11          342.11
2002-2009       32                95.00          282.10          377.10
2002-2009       33               114.00          296.10          410.10
2002-2009       34               110.00          320.11          430.11
2002-2009       35               135.00          342.13          477.13
2002-2009       36               145.00          358.14          503.14
2002-2009       37               165.00          395.16          560.16
2002-2009       38               207.00          454.16          661.16
2002-2009       39               210.00          480.19          690.19
2002-2009       40               217.00          595.21          812.21
2002-2009       41               304.02          691.23          995.25
2002-2009       42               271.01          718.25          989.26
2002-2009       43               320.01          843.29         1163.30
2002-2009       44               351.03          893.32         1244.35
2002-2009       45               422.06         1069.40         1491.46
2002-2009       46               509.08         1222.45         1731.53
2002-2009       47               602.10         1363.51         1965.61
2002-2009       48               629.10         1506.55         2135.65
2002-2009       49               644.10         1724.64         2368.74
2002-2009       50               731.10         1964.73         2695.83
2002-2009       51               813.10         2079.78         2892.88
2002-2009       52               888.10         2368.86         3256.96
2002-2009       53               916.12         2444.90         3361.02
2002-2009       54              1019.14         2521.93         3541.07
2002-2009       55              1067.17         2737.03         3804.20
2002-2009       56              1022.15         2784.99         3807.14
2002-2009       57              1156.16         2734.01         3890.17
2002-2009       58              1190.18         2890.07         4080.25
2002-2009       59              1270.20         3051.12         4321.32
2002-2009       60              1354.22         3073.12         4427.34
2002-2009       61              1533.26         3257.17         4790.43
2002-2009       62              1593.27         3628.32         5221.59
2002-2009       63              1738.30         3749.39         5487.69
2002-2009       64              2007.31         4193.55         6200.86
2002-2009       65              2340.35         4663.71         7004.06
2002-2009       66              2634.40         4962.83         7597.23
2002-2009       67              2971.44         5325.96         8297.40
2002-2009       68              3375.52         5791.15         9166.67
2002-2009       69              3836.60         6256.29        10092.89
2002-2009       70              4284.64         6583.43        10868.07
2002-2009       71              4775.73         7011.58        11787.31
2002-2009       72              5316.81         7168.60        12485.41
2002-2009       73              5692.87         7547.79        13240.66
2002-2009       74              6404.97         7544.77        13949.74
2002-2009       75              7105.03         7626.83        14731.86
2002-2009       76              7591.14         7408.69        14999.83
2002-2009       77              8101.21         7257.64        15358.85
2002-2009       78              8450.25         7005.57        15455.82
2002-2009       79              8951.31         6673.44        15624.75
2002-2009       80              9153.35         6180.26        15333.61
2002-2009       81              9605.44         5885.12        15490.56
2002-2009       82              9919.47         5288.96        15208.43
2002-2009       83              9342.35         4767.70        14110.05
2002-2009       84              8408.18         4037.47        12445.65
2002-2009       85              7383.00         3499.28        10882.28
2002-2009       86              6369.82         2765.02         9134.84
2002-2009       87              6035.75         2451.88         8487.63
2002-2009       88              5208.73         2158.77         7367.50
2002-2009       89              4687.70         1785.61         6473.31
2002-2009       90              3932.61         1577.55         5510.16
2002-2009       91              3444.56         1331.50         4776.06
2002-2009       92              3077.46         1163.45         4240.91
2002-2009       93              2659.41          948.36         3607.77
2002-2009       94              2233.32          766.27         2999.59
2002-2009       95              1693.25          543.20         2236.45
2002-2009       96              1223.20          371.14         1594.34
2002-2009       97               816.12          241.10         1057.22
2002-2009       98               566.08          154.03          720.11
2002-2009       99               312.01           82.01          394.02
2002-2009      100               217.00           53.00          270.00
2002-2009      101               119.00           39.00          158.00
2002-2009      102                77.00           16.00           93.00
2002-2009      103                32.00           11.00           43.00
2002-2009      104                17.00            6.00           23.00
2002-2009      105                 4.00            2.00            6.00
2002-2009      106                 1.00            0.00            1.00
2002-2009      107                 3.00            2.00            5.00
2002-2009      108                 1.00            0.00            1.00
2002-2009      109                 1.00            0.00            1.00
2002-2009      110+                0.00            0.00            0.00
2010-2016        0               537.03          673.03         1210.06
2010-2016        1                31.00           44.00           75.00
2010-2016        2                31.00           37.00           68.00
2010-2016        3                11.00           24.00           35.00
2010-2016        4                18.00           19.00           37.00
2010-2016        5                15.00           21.00           36.00
2010-2016        6                16.00           13.00           29.00
2010-2016        7                13.00           22.00           35.00
2010-2016        8                12.00           16.00           28.00
2010-2016        9                12.00           17.00           29.00
2010-2016       10                16.00           17.00           33.00
2010-2016       11                 8.00           19.00           27.00
2010-2016       12                12.00           20.00           32.00
2010-2016       13                12.00           25.00           37.00
2010-2016       14                19.00           32.00           51.00
2010-2016       15                20.00           55.00           75.00
2010-2016       16                26.00           51.00           77.00
2010-2016       17                41.00           68.00          109.00
2010-2016       18                28.00          109.00          137.00
2010-2016       19                29.00          113.00          142.00
2010-2016       20                35.00          123.00          158.00
2010-2016       21                35.00          134.00          169.00
2010-2016       22                29.00          141.00          170.00
2010-2016       23                45.00          121.00          166.00
2010-2016       24                42.00          136.00          178.00
2010-2016       25                46.00          129.00          175.00
2010-2016       26                50.00          168.00          218.00
2010-2016       27                51.00          142.00          193.00
2010-2016       28                50.00          139.00          189.00
2010-2016       29                57.00          171.00          228.00
2010-2016       30                55.00          185.00          240.00
2010-2016       31                71.00          181.00          252.00
2010-2016       32                80.00          209.00          289.00
2010-2016       33                87.00          213.00          300.00
2010-2016       34                71.00          189.00          260.00
2010-2016       35                85.00          233.00          318.00
2010-2016       36               103.00          275.00          378.00
2010-2016       37               135.00          294.00          429.00
2010-2016       38               126.00          270.00          396.00
2010-2016       39               139.00          308.00          447.00
2010-2016       40               151.00          308.01          459.01
2010-2016       41               188.00          371.03          559.03
2010-2016       42               187.00          425.03          612.03
2010-2016       43               206.00          479.04          685.04
2010-2016       44               245.00          507.04          752.04
2010-2016       45               280.00          620.04          900.04
2010-2016       46               346.00          709.04         1055.04
2010-2016       47               355.00          834.07         1189.07
2010-2016       48               424.00          931.06         1355.06
2010-2016       49               469.00         1042.07         1511.07
2010-2016       50               529.01         1154.08         1683.09
2010-2016       51               606.05         1399.10         2005.15
2010-2016       52               673.05         1450.10         2123.15
2010-2016       53               703.06         1648.10         2351.16
2010-2016       54               753.06         1888.12         2641.18
2010-2016       55               890.06         2041.14         2931.20
2010-2016       56               946.06         2317.16         3263.22
2010-2016       57              1008.06         2482.16         3490.22
2010-2016       58              1149.06         2701.16         3850.22
2010-2016       59              1260.06         2992.20         4252.26
2010-2016       60              1326.06         3159.21         4485.27
2010-2016       61              1376.06         3258.20         4634.26
2010-2016       62              1495.06         3468.22         4963.28
2010-2016       63              1521.07         3515.21         5036.28
2010-2016       64              1592.06         3509.20         5101.26
