Japan, Deaths (period 1x10), 	Last modified: 12 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0            245588.42       294055.13       539643.55
1947-1949        1             70185.86        74765.71       144951.57
1947-1949        2             33983.29        35443.86        69427.15
1947-1949        3             22236.35        23520.04        45756.39
1947-1949        4             15546.28        16717.32        32263.60
1947-1949        5             11183.23        12345.06        23528.29
1947-1949        6              8281.37         9376.37        17657.74
1947-1949        7              6293.01         7474.64        13767.65
1947-1949        8              4807.99         5529.83        10337.82
1947-1949        9              4115.68         4712.24         8827.92
1947-1949       10              3853.54         4363.98         8217.52
1947-1949       11              3867.48         3995.57         7863.05
1947-1949       12              4007.56         3920.48         7928.04
1947-1949       13              4257.73         4017.55         8275.28
1947-1949       14              5015.25         4445.00         9460.25
1947-1949       15              6488.29         5535.05        12023.34
1947-1949       16              7760.99         6916.18        14677.17
1947-1949       17              9239.93         8746.80        17986.73
1947-1949       18             10564.80        10744.66        21309.46
1947-1949       19             12294.98        13042.77        25337.75
1947-1949       20             13773.93        14844.27        28618.20
1947-1949       21             14952.55        15714.01        30666.56
1947-1949       22             15173.48        16056.99        31230.47
1947-1949       23             15120.46        15570.45        30690.91
1947-1949       24             14728.22        14412.32        29140.54
1947-1949       25             14097.77        13071.23        27169.00
1947-1949       26             13315.26        11971.43        25286.69
1947-1949       27             12716.90        11543.12        24260.02
1947-1949       28             11992.26        10700.27        22692.53
1947-1949       29             11009.85        10590.22        21600.07
1947-1949       30             10647.73         9921.80        20569.53
1947-1949       31             10447.60        10122.94        20570.54
1947-1949       32             10484.59        10337.20        20821.79
1947-1949       33             10345.51        10573.37        20918.88
1947-1949       34             10169.37        10429.16        20598.53
1947-1949       35              9967.22        10441.15        20408.37
1947-1949       36             10172.36        10554.29        20726.65
1947-1949       37             10040.22        10681.42        20721.64
1947-1949       38              9644.03        10717.42        20361.45
1947-1949       39              9906.16        10790.44        20696.60
1947-1949       40              9554.88        10897.55        20452.43
1947-1949       41              9244.62        10880.42        20125.04
1947-1949       42              8986.57        10745.33        19731.90
1947-1949       43              8663.42        11087.74        19751.16
1947-1949       44              8914.60        11727.38        20641.98
1947-1949       45              9237.77        12257.82        21495.59
1947-1949       46              9538.92        12739.12        22278.04
1947-1949       47              9644.93        13206.41        22851.34
1947-1949       48              9759.93        13244.49        23004.42
1947-1949       49              9956.15        13862.08        23818.23
1947-1949       50             10309.39        14095.23        24404.62
1947-1949       51             10387.37        14696.72        25084.09
1947-1949       52             10777.70        15108.23        25885.93
1947-1949       53             11048.73        15834.78        26883.51
1947-1949       54             11092.79        16234.08        27326.87
1947-1949       55             11072.76        16483.20        27555.96
1947-1949       56             11627.12        16669.38        28296.50
1947-1949       57             12397.68        18019.88        30417.56
1947-1949       58             13843.69        20030.69        33874.38
1947-1949       59             13998.64        20617.83        34616.47
1947-1949       60             15207.30        21336.52        36543.82
1947-1949       61             15026.26        21062.14        36088.40
1947-1949       62             16041.89        21793.86        37835.75
1947-1949       63             17151.76        22449.64        39601.40
1947-1949       64             18403.46        23405.46        41808.92
1947-1949       65             19327.02        24251.29        43578.31
1947-1949       66             20542.70        24832.63        45375.33
1947-1949       67             21144.01        25586.15        46730.16
1947-1949       68             22086.65        25952.54        48039.19
1947-1949       69             23004.24        25593.29        48597.53
1947-1949       70             23919.85        25713.45        49633.30
1947-1949       71             24688.39        25251.88        49940.27
1947-1949       72             24491.82        24589.12        49080.94
1947-1949       73             24474.84        23073.84        47548.68
1947-1949       74             23291.22        21567.47        44858.69
1947-1949       75             22269.42        19727.78        41997.20
1947-1949       76             20424.09        17000.34        37424.43
1947-1949       77             18804.30        15324.98        34129.28
1947-1949       78             18073.30        14168.52        32241.82
1947-1949       79             18166.41        13438.78        31605.19
1947-1949       80             17230.52        12070.32        29300.84
1947-1949       81             15869.64        10886.31        26755.95
1947-1949       82             14633.10         9162.03        23795.13
1947-1949       83             13147.06         8002.82        21149.88
1947-1949       84             10593.11         5995.95        16589.06
1947-1949       85              8250.73         4669.85        12920.58
1947-1949       86              6598.99         3619.10        10218.09
1947-1949       87              5436.34         2816.45         8252.79
1947-1949       88              4629.85         2296.97         6926.82
1947-1949       89              3934.38         1872.61         5806.99
1947-1949       90              2928.83         1379.16         4307.99
1947-1949       91              2178.31         1031.89         3210.20
1947-1949       92              1692.00          657.56         2349.56
1947-1949       93              1151.69          448.38         1600.07
1947-1949       94               756.45          297.27         1053.72
1947-1949       95               512.31          220.18          732.49
1947-1949       96               291.17          127.12          418.29
1947-1949       97               218.15           78.06          296.21
1947-1949       98               134.08           55.05          189.13
1947-1949       99                67.04           47.04          114.08
1947-1949      100                38.00           26.02           64.02
1947-1949      101                22.01            6.00           28.01
1947-1949      102                11.00            3.00           14.00
1947-1949      103                 9.00            6.00           15.00
1947-1949      104                 6.00            1.00            7.00
1947-1949      105                 4.00            2.00            6.00
1947-1949      106                 2.00            3.00            5.00
1947-1949      107                 1.00            2.00            3.00
1947-1949      108                 0.00            1.00            1.00
1947-1949      109                 1.00            0.00            1.00
1947-1949      110+               10.00            6.00           16.00
1950-1959        0            381636.72       462327.07       843963.79
1950-1959        1             74973.47        79758.00       154731.47
1950-1959        2             57694.52        62164.17       119858.69
1950-1959        3             44825.03        48425.03        93250.06
1950-1959        4             31157.53        33710.85        64868.38
1950-1959        5             21319.79        24040.59        45360.38
1950-1959        6             15064.21        18454.80        33519.01
1950-1959        7             11103.87        14648.15        25752.02
1950-1959        8              8858.72        12201.80        21060.52
1950-1959        9              7690.63        10112.46        17803.09
1950-1959       10              6844.52         8766.27        15610.79
1950-1959       11              6236.53         7556.09        13792.62
1950-1959       12              6181.50         7077.09        13258.59
1950-1959       13              6334.52         7103.04        13437.56
1950-1959       14              7078.63         7786.16        14864.79
1950-1959       15              7810.66         9104.34        16915.00
1950-1959       16              9580.86        11323.72        20904.58
1950-1959       17             11150.02        14036.22        25186.24
1950-1959       18             13320.17        16852.64        30172.81
1950-1959       19             15430.31        19867.07        35297.38
1950-1959       20             16709.41        21907.39        38616.80
1950-1959       21             18381.59        23458.68        41840.27
1950-1959       22             19262.68        24667.81        43930.49
1950-1959       23             20443.76        25301.93        45745.69
1950-1959       24             20887.79        25834.05        46721.84
1950-1959       25             20411.74        24688.84        45100.58
1950-1959       26             20479.74        24043.66        44523.40
1950-1959       27             20259.69        22496.30        42755.99
1950-1959       28             20049.70        21255.13        41304.83
1950-1959       29             19925.65        21202.10        41127.75
1950-1959       30             19860.62        19617.88        39478.50
1950-1959       31             19013.48        18441.62        37455.10
1950-1959       32             18821.48        18135.65        36957.13
1950-1959       33             18661.48        17692.64        36354.12
1950-1959       34             18732.46        17761.72        36494.18
1950-1959       35             18627.44        17497.72        36125.16
1950-1959       36             18864.48        18030.80        36895.28
1950-1959       37             19041.50        18336.86        37378.36
1950-1959       38             19351.56        18674.91        38026.47
1950-1959       39             19802.57        20303.14        40105.71
1950-1959       40             20074.56        20661.14        40735.70
1950-1959       41             20606.61        22179.35        42785.96
1950-1959       42             21170.65        23462.49        44633.14
1950-1959       43             21618.61        24826.65        46445.26
1950-1959       44             22012.62        26489.76        48502.38
1950-1959       45             22796.71        28186.01        50982.72
1950-1959       46             23631.72        29381.12        53012.84
1950-1959       47             24448.78        31970.50        56419.28
1950-1959       48             26098.87        34121.80        60220.67
1950-1959       49             27288.98        36522.14        63811.12
1950-1959       50             28383.09        38772.39        67155.48
1950-1959       51             29465.16        40395.53        69860.69
1950-1959       52             30579.24        43259.99        73839.23
1950-1959       53             31798.27        45972.14        77770.41
1950-1959       54             33113.37        49043.58        82156.95
1950-1959       55             34362.41        51993.93        86356.34
1950-1959       56             35911.51        54218.18        90129.69
1950-1959       57             37605.65        56940.51        94546.16
1950-1959       58             40740.84        62019.18       102760.02
1950-1959       59             40126.81        62809.22       102936.03
1950-1959       60             42628.05        64611.62       107239.67
1950-1959       61             44798.21        67606.97       112405.18
1950-1959       62             47064.30        70308.22       117372.52
1950-1959       63             50383.63        73065.65       123449.28
1950-1959       64             53151.82        75236.84       128388.66
1950-1959       65             55623.00        77299.27       132922.27
1950-1959       66             59222.29        79854.54       139076.83
1950-1959       67             63087.49        81950.73       145038.22
1950-1959       68             67015.76        84093.12       151108.88
1950-1959       69             71866.12        86554.48       158420.60
1950-1959       70             74769.27        86917.35       161686.62
1950-1959       71             78467.59        87215.60       165683.19
1950-1959       72             81194.70        86795.45       167990.15
1950-1959       73             83772.89        85597.29       169370.18
1950-1959       74             86486.01        84764.05       171250.06
1950-1959       75             87866.98        82005.47       169872.45
1950-1959       76             87535.91        78491.98       166027.89
1950-1959       77             85153.64        73692.29       158845.93
1950-1959       78             83566.41        69147.46       152713.87
1950-1959       79             78868.96        61925.44       140794.40
1950-1959       80             73815.64        55452.60       129268.24
1950-1959       81             68386.31        48774.92       117161.23
1950-1959       82             62026.89        42667.23       104694.12
1950-1959       83             55639.43        36200.36        91839.79
1950-1959       84             49182.17        29668.65        78850.82
1950-1959       85             42406.78        24857.11        67263.89
1950-1959       86             36257.33        20094.52        56351.85
1950-1959       87             29612.87        15415.82        45028.69
1950-1959       88             24131.53        11917.41        36048.94
1950-1959       89             19070.17         9026.09        28096.26
1950-1959       90             14675.87         6643.78        21319.65
1950-1959       91             11343.67         4682.56        16026.23
1950-1959       92              8218.51         3349.42        11567.93
1950-1959       93              5824.34         2220.28         8044.62
1950-1959       94              3979.23         1456.17         5435.40
1950-1959       95              2595.14          832.07         3427.21
1950-1959       96              1689.08          544.06         2233.14
1950-1959       97              1107.05          336.02         1443.07
1950-1959       98               694.02          224.02          918.04
1950-1959       99               414.00          124.00          538.00
1950-1959      100               245.00           74.00          319.00
1950-1959      101               121.00           42.00          163.00
1950-1959      102                71.00           22.00           93.00
1950-1959      103                38.00           10.00           48.00
1950-1959      104                25.00           11.00           36.00
1950-1959      105                 4.00            8.00           12.00
1950-1959      106                 5.00            3.00            8.00
1950-1959      107                 7.00            2.00            9.00
1950-1959      108                 6.00            2.00            8.00
1950-1959      109                 3.00            1.00            4.00
1950-1959      110+                8.00            1.00            9.00
1960-1969        0            152691.35       202683.35       355374.70
1960-1969        1             17361.32        21274.07        38635.39
1960-1969        2             10848.75        13932.40        24781.15
1960-1969        3              8068.57        11250.09        19318.66
1960-1969        4              6869.49         9581.73        16451.22
1960-1969        5              5634.41         8141.55        13775.96
1960-1969        6              4509.32         6952.36        11461.68
1960-1969        7              3803.26         6265.15        10068.41
1960-1969        8              3269.19         5612.02         8881.21
1960-1969        9              3029.16         4943.88         7973.04
1960-1969       10              2891.14         4669.81         7560.95
1960-1969       11              2980.14         4512.71         7492.85
1960-1969       12              3192.16         4678.78         7870.94
1960-1969       13              3350.19         5178.90         8529.09
1960-1969       14              3334.20         5580.98         8915.18
1960-1969       15              3646.24         6640.22        10286.46
1960-1969       16              4470.36         9217.88        13688.24
1960-1969       17              5095.40        11241.47        16336.87
1960-1969       18              6005.47        12278.72        18284.19
1960-1969       19              6943.60        13532.09        20475.69
1960-1969       20              7499.68        14061.21        21560.89
1960-1969       21              7712.64        13987.22        21699.86
1960-1969       22              8165.60        14367.76        22533.36
1960-1969       23              8534.60        14364.67        22899.27
1960-1969       24              8972.71        15153.00        24125.71
1960-1969       25              9287.77        15340.11        24627.88
1960-1969       26              9389.81        14822.13        24211.94
1960-1969       27              9475.77        14896.06        24371.83
1960-1969       28              9711.76        14765.99        24477.75
1960-1969       29              9996.75        15339.91        25336.66
1960-1969       30             10158.81        14961.95        25120.76
1960-1969       31             10482.85        15643.18        26126.03
1960-1969       32             10990.88        16299.42        27290.30
1960-1969       33             11212.93        16938.61        28151.54
1960-1969       34             11711.97        17780.71        29492.68
1960-1969       35             12019.00        18293.97        30312.97
1960-1969       36             12389.04        18549.31        30938.35
1960-1969       37             12875.11        18948.49        31823.60
1960-1969       38             13383.12        19027.54        32410.66
1960-1969       39             13950.17        19866.91        33817.08
1960-1969       40             14374.25        19620.89        33995.14
1960-1969       41             14768.26        19913.11        34681.37
1960-1969       42             15179.39        19924.14        35103.53
