Korea, Deaths (period 1x10), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2003-2009        0              5837.48         7130.25        12967.73
2003-2009        1               642.06          717.02         1359.08
2003-2009        2               410.02          581.02          991.04
2003-2009        3               389.03          512.01          901.04
2003-2009        4               340.02          461.02          801.04
2003-2009        5               308.02          448.01          756.03
2003-2009        6               330.02          453.02          783.04
2003-2009        7               296.04          472.03          768.07
2003-2009        8               265.03          416.02          681.05
2003-2009        9               241.03          372.01          613.04
2003-2009       10               217.00          378.01          595.01
2003-2009       11               228.01          354.02          582.03
2003-2009       12               245.02          411.02          656.04
2003-2009       13               312.05          418.02          730.07
2003-2009       14               318.04          511.03          829.07
2003-2009       15               354.03          691.04         1045.07
2003-2009       16               451.04          846.04         1297.08
2003-2009       17               458.05         1053.06         1511.11
2003-2009       18               498.05         1171.04         1669.09
2003-2009       19               568.06         1219.05         1787.11
2003-2009       20               622.05         1275.06         1897.11
2003-2009       21               759.09         1246.06         2005.15
2003-2009       22               888.10         1523.07         2411.17
2003-2009       23              1025.09         1647.07         2672.16
2003-2009       24              1002.08         1857.09         2859.17
2003-2009       25              1194.10         1953.08         3147.18
2003-2009       26              1220.11         2007.08         3227.19
2003-2009       27              1150.11         2164.09         3314.20
2003-2009       28              1169.10         2228.10         3397.20
2003-2009       29              1260.11         2325.12         3585.23
2003-2009       30              1408.11         2399.12         3807.23
2003-2009       31              1444.11         2593.11         4037.22
2003-2009       32              1552.11         2795.13         4347.24
2003-2009       33              1737.14         3038.14         4775.28
2003-2009       34              1805.15         3532.15         5337.30
2003-2009       35              1916.17         3737.14         5653.31
2003-2009       36              2059.19         4338.20         6397.39
2003-2009       37              2176.20         4591.21         6767.41
2003-2009       38              2360.21         5208.23         7568.44
2003-2009       39              2458.21         5543.26         8001.47
2003-2009       40              2580.22         6271.29         8851.51
2003-2009       41              2658.22         6933.34         9591.56
2003-2009       42              2926.23         7841.35        10767.58
2003-2009       43              3294.28         8948.38        12242.66
2003-2009       44              3532.30         9550.40        13082.70
2003-2009       45              3766.28        10380.41        14146.69
2003-2009       46              3914.32        11488.50        15402.82
2003-2009       47              4249.35        12000.52        16249.87
2003-2009       48              4380.35        12628.60        17008.95
2003-2009       49              4279.35        12884.64        17163.99
2003-2009       50              4399.36        13012.64        17412.00
2003-2009       51              4464.37        13203.66        17668.03
2003-2009       52              4404.37        13149.67        17554.04
2003-2009       53              4561.37        13267.68        17829.05
2003-2009       54              4530.39        13654.71        18185.10
2003-2009       55              4581.39        13745.65        18327.04
2003-2009       56              4951.43        14018.63        18970.06
2003-2009       57              4923.40        14053.67        18977.07
2003-2009       58              5172.41        14204.60        19377.01
2003-2009       59              5525.46        14799.71        20325.17
2003-2009       60              6175.52        15836.76        22012.28
2003-2009       61              6708.58        17012.79        23721.37
2003-2009       62              7253.61        18348.83        25602.44
2003-2009       63              7820.65        18806.72        26627.37
2003-2009       64              8889.73        20768.84        29658.57
2003-2009       65              9873.80        21929.87        31803.67
2003-2009       66             10869.89        23817.10        34686.99
2003-2009       67             11893.99        24637.18        36531.17
2003-2009       68             12695.05        25171.16        37866.21
2003-2009       69             14038.14        25798.18        39836.32
2003-2009       70             15228.26        26121.24        41349.50
