Latvia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        0              2957.35         4211.47         7168.82
1960-1969        1               347.19          424.09          771.28
1960-1969        2               231.74          238.86          470.60
1960-1969        3               150.02          207.66          357.68
1960-1969        4               119.13          160.49          279.62
1960-1969        5               110.64          147.50          258.14
1960-1969        6                92.07          111.41          203.48
1960-1969        7                90.07          144.38          234.45
1960-1969        8                82.60          122.37          204.97
1960-1969        9                66.69          122.41          189.10
1960-1969       10                62.59          123.95          186.54
1960-1969       11                64.21          114.68          178.89
1960-1969       12                70.85          128.00          198.85
1960-1969       13                56.41          126.95          183.36
1960-1969       14                59.98          130.49          190.47
1960-1969       15                79.35          140.63          219.98
1960-1969       16                86.80          182.32          269.12
1960-1969       17                93.12          222.51          315.63
1960-1969       18                99.34          307.23          406.57
1960-1969       19               117.43          337.43          454.86
1960-1969       20               132.43          334.42          466.85
1960-1969       21               147.28          339.10          486.38
1960-1969       22               147.95          391.71          539.66
1960-1969       23               155.50          467.28          622.78
1960-1969       24               156.92          551.74          708.66
1960-1969       25               168.31          581.02          749.33
1960-1969       26               189.10          574.39          763.49
1960-1969       27               190.46          591.71          782.17
1960-1969       28               196.36          592.00          788.36
1960-1969       29               191.83          553.19          745.02
1960-1969       30               201.75          654.51          856.26
1960-1969       31               227.66          653.64          881.30
1960-1969       32               220.49          669.71          890.20
1960-1969       33               224.23          676.75          900.98
1960-1969       34               262.93          711.72          974.65
1960-1969       35               266.17          689.26          955.43
1960-1969       36               283.84          684.88          968.72
1960-1969       37               327.55          681.18         1008.73
1960-1969       38               344.35          670.16         1014.51
1960-1969       39               344.21          677.83         1022.04
1960-1969       40               342.11          730.79         1072.90
1960-1969       41               398.62          636.48         1035.10
1960-1969       42               421.69          670.51         1092.20
1960-1969       43               420.32          618.91         1039.23
1960-1969       44               388.47          632.62         1021.09
1960-1969       45               408.74          654.88         1063.62
1960-1969       46               461.85          599.31         1061.16
1960-1969       47               449.43          705.11         1154.54
1960-1969       48               493.41          744.28         1237.69
1960-1969       49               563.83          803.82         1367.65
1960-1969       50               610.31          860.32         1470.63
1960-1969       51               672.38          916.18         1588.56
1960-1969       52               763.79         1136.97         1900.76
1960-1969       53               846.46         1205.71         2052.17
1960-1969       54               899.44         1310.40         2209.84
1960-1969       55               960.75         1486.29         2447.04
1960-1969       56              1048.62         1639.32         2687.94
1960-1969       57              1137.11         1664.77         2801.88
1960-1969       58              1204.21         1862.63         3066.84
1960-1969       59              1319.92         1922.86         3242.78
1960-1969       60              1512.74         2073.70         3586.44
1960-1969       61              1511.72         2122.91         3634.63
1960-1969       62              1643.31         2265.65         3908.96
1960-1969       63              1740.58         2261.98         4002.56
1960-1969       64              1975.52         2296.83         4272.35
1960-1969       65              2091.32         2300.43         4391.75
1960-1969       66              2102.95         2349.44         4452.39
1960-1969       67              2396.75         2315.05         4711.80
1960-1969       68              2573.61         2325.23         4898.84
1960-1969       69              2575.59         2336.02         4911.61
1960-1969       70              3019.22         2424.52         5443.74
1960-1969       71              2964.32         2433.06         5397.38
1960-1969       72              3339.52         2566.74         5906.26
