Slovenia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1983-1989        0               915.00         1197.00         2112.00
1983-1989        1                81.00          106.00          187.00
1983-1989        2                38.00           31.00           69.00
1983-1989        3                29.00           49.00           78.00
1983-1989        4                25.00           51.00           76.00
1983-1989        5                27.00           29.00           56.00
1983-1989        6                24.00           37.00           61.00
1983-1989        7                29.00           30.00           59.00
1983-1989        8                24.00           47.00           71.00
1983-1989        9                11.00           27.00           38.00
1983-1989       10                18.00           28.00           46.00
1983-1989       11                22.00           37.00           59.00
1983-1989       12                 9.00           28.00           37.00
1983-1989       13                 7.00           32.00           39.00
1983-1989       14                19.00           47.00           66.00
1983-1989       15                26.00           47.00           73.00
1983-1989       16                49.00           85.00          134.00
1983-1989       17                37.00          117.00          154.00
1983-1989       18                40.00          136.00          176.00
1983-1989       19                49.00          104.00          153.00
1983-1989       20                58.00          181.00          239.00
1983-1989       21                50.00          179.00          229.00
1983-1989       22                40.00          185.00          225.00
1983-1989       23                52.00          159.00          211.00
1983-1989       24                43.00          176.00          219.00
1983-1989       25                55.00          178.00          233.00
1983-1989       26                57.00          171.00          228.00
1983-1989       27                59.00          194.00          253.00
1983-1989       28                49.00          198.00          247.00
1983-1989       29                64.00          218.00          282.00
1983-1989       30                59.00          209.00          268.00
1983-1989       31                87.00          231.00          318.00
1983-1989       32                86.00          261.00          347.00
1983-1989       33                72.00          264.00          336.00
1983-1989       34                99.00          287.00          386.00
1983-1989       35               103.00          323.00          426.00
1983-1989       36               126.00          293.00          419.00
1983-1989       37                96.00          308.00          404.00
1983-1989       38               107.00          300.00          407.00
1983-1989       39               115.00          349.00          464.00
1983-1989       40               124.00          350.00          474.00
1983-1989       41               151.00          358.00          509.00
1983-1989       42               171.00          389.00          560.00
1983-1989       43               147.00          447.00          594.00
1983-1989       44               192.00          498.00          690.00
1983-1989       45               193.00          529.00          722.00
1983-1989       46               241.00          596.00          837.00
1983-1989       47               262.00          625.00          887.00
1983-1989       48               286.00          699.00          985.00
1983-1989       49               323.00          780.00         1103.00
1983-1989       50               311.00          821.00         1132.00
1983-1989       51               383.00          976.00         1359.00
1983-1989       52               458.00         1067.00         1525.00
1983-1989       53               460.00         1136.00         1596.00
1983-1989       54               482.00         1176.00         1658.00
1983-1989       55               522.00         1318.00         1840.00
1983-1989       56               569.00         1347.00         1916.00
1983-1989       57               636.00         1388.00         2024.00
1983-1989       58               653.00         1379.00         2032.00
1983-1989       59               723.00         1433.00         2156.00
1983-1989       60               746.00         1408.00         2154.00
1983-1989       61               809.00         1345.00         2154.00
1983-1989       62               849.00         1332.00         2181.00
1983-1989       63               874.00         1403.00         2277.00
1983-1989       64               918.00         1290.00         2208.00
1983-1989       65               909.00         1284.00         2193.00
1983-1989       66               862.00         1144.00         2006.00
1983-1989       67               865.00         1124.00         1989.00
1983-1989       68               948.00         1246.00         2194.00
1983-1989       69              1000.00         1290.00         2290.00
1983-1989       70              1152.00         1373.00         2525.00
1983-1989       71              1360.00         1611.00         2971.00
1983-1989       72              1544.00         1757.00         3301.00
1983-1989       73              1790.00         2015.00         3805.00
1983-1989       74              2204.00         2247.00         4451.00
1983-1989       75              2340.00         2334.00         4674.00
1983-1989       76              2476.00         2389.00         4865.00
1983-1989       77              2537.00         2276.00         4813.00
1983-1989       78              2732.00         2172.00         4904.00
1983-1989       79              2732.00         2155.00         4887.00
1983-1989       80              2758.00         2007.00         4765.00
1983-1989       81              2855.00         1956.00         4811.00
1983-1989       82              2827.00         1723.00         4550.00
1983-1989       83              2623.00         1538.00         4161.00
1983-1989       84              2530.00         1339.00         3869.00
1983-1989       85              2265.00         1195.00         3460.00
1983-1989       86              2074.00          993.00         3067.00
1983-1989       87              1916.00          817.00         2733.00
1983-1989       88              1522.00          628.00         2150.00
1983-1989       89              1306.00          473.00         1779.00
1983-1989       90              1030.00          424.00         1454.00
1983-1989       91               811.00          255.00         1066.00
1983-1989       92               605.00          220.00          825.00
1983-1989       93               478.00          143.00          621.00
1983-1989       94               343.00           92.00          435.00
1983-1989       95               230.00           59.00          289.00
1983-1989       96               170.00           43.00          213.00
1983-1989       97               104.00           21.00          125.00
1983-1989       98                69.00           20.00           89.00
1983-1989       99                42.00            5.00           47.00
1983-1989      100                22.00            6.00           28.00
1983-1989      101                15.00            6.00           21.00
1983-1989      102                 6.00            2.00            8.00
1983-1989      103                 1.00            1.00            2.00
1983-1989      104                 2.00            3.00            5.00
1983-1989      105                 2.00            0.00            2.00
1983-1989      106                 0.00            0.00            0.00
1983-1989      107                 0.00            0.00            0.00
1983-1989      108                 0.00            0.00            0.00
1983-1989      109                 0.00            0.00            0.00
1983-1989      110+                0.00            0.00            0.00
1990-1999        0               520.00          742.00         1262.00
1990-1999        1                39.00           65.00          104.00
1990-1999        2                32.00           37.00           69.00
1990-1999        3                24.00           41.00           65.00
1990-1999        4                22.00           32.00           54.00
1990-1999        5                23.00           34.00           57.00
1990-1999        6                21.00           21.00           42.00
1990-1999        7                12.00           35.00           47.00
1990-1999        8                15.00           30.00           45.00
1990-1999        9                18.00           26.00           44.00
1990-1999       10                15.00           28.00           43.00
1990-1999       11                16.00           23.00           39.00
1990-1999       12                19.00           36.00           55.00
1990-1999       13                16.00           49.00           65.00
1990-1999       14                35.00           55.00           90.00
1990-1999       15                29.00           64.00           93.00
1990-1999       16                44.00           98.00          142.00
1990-1999       17                54.00          146.00          200.00
1990-1999       18                47.00          203.00          250.00
1990-1999       19                65.00          195.00          260.00
1990-1999       20                62.00          225.00          287.00
1990-1999       21                54.00          217.00          271.00
1990-1999       22                66.00          210.00          276.00
1990-1999       23                52.00          221.00          273.00
1990-1999       24                57.00          226.00          283.00
1990-1999       25                61.00          233.00          294.00
1990-1999       26                60.00          223.00          283.00
1990-1999       27                55.00          204.00          259.00
1990-1999       28                53.00          202.00          255.00
1990-1999       29                82.00          211.00          293.00
1990-1999       30                70.00          239.00          309.00
1990-1999       31                72.00          262.00          334.00
1990-1999       32                89.00          290.00          379.00
1990-1999       33               100.00          276.00          376.00
1990-1999       34               103.00          321.00          424.00
