Chile, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0           1037202.84      1084324.53      2121527.37
1992-1999        1           1045357.65      1091622.71      2136980.35
1992-1999        2           1058681.40      1104638.85      2163320.25
1992-1999        3           1077913.56      1123750.26      2201663.82
1992-1999        4           1098799.76      1145515.77      2244315.53
1992-1999        5           1106105.77      1152980.04      2259085.81
1992-1999        6           1098402.05      1143149.87      2241551.92
1992-1999        7           1085112.97      1127610.04      2212723.01
1992-1999        8           1067612.78      1108245.28      2175858.06
1992-1999        9           1050769.65      1089150.53      2139920.18
1992-1999       10           1035376.53      1071971.49      2107348.02
1992-1999       11           1017771.56      1053361.67      2071133.23
1992-1999       12            998099.36      1032048.49      2030147.85
1992-1999       13            980098.07      1012661.22      1992759.29
1992-1999       14            968039.67      1000164.62      1968204.29
1992-1999       15            961022.16       991224.71      1952246.87
1992-1999       16            955445.15       982369.85      1937814.99
1992-1999       17            952726.82       977622.20      1930349.03
1992-1999       18            951117.28       975263.88      1926381.16
1992-1999       19            950957.83       970844.88      1921802.71
1992-1999       20            952822.41       964876.00      1917698.40
1992-1999       21            956501.72       962299.81      1918801.53
1992-1999       22            962444.53       963539.30      1925983.83
1992-1999       23            971045.23       967355.97      1938401.20
1992-1999       24            978045.15       970000.52      1948045.67
1992-1999       25            979613.12       966377.01      1945990.13
1992-1999       26            979639.41       960018.57      1939657.98
1992-1999       27            982209.53       957741.11      1939950.64
1992-1999       28            984483.00       957292.19      1941775.19
1992-1999       29            988133.28       958167.90      1946301.18
1992-1999       30            992003.41       958793.56      1950796.96
1992-1999       31            989077.51       952974.90      1942052.41
1992-1999       32            984789.51       946116.11      1930905.61
1992-1999       33            978344.51       939695.68      1918040.19
1992-1999       34            961468.06       924453.84      1885921.90
1992-1999       35            937120.92       900654.83      1837775.76
1992-1999       36            910093.71       872398.89      1782492.60
1992-1999       37            880913.44       841131.78      1722045.22
1992-1999       38            850144.35       810530.56      1660674.91
1992-1999       39            818969.80       780508.50      1599478.30
1992-1999       40            781778.82       743296.77      1525075.58
1992-1999       41            743237.00       705923.34      1449160.34
1992-1999       42            718838.54       683201.46      1402040.00
1992-1999       43            697836.18       663023.61      1360859.78
1992-1999       44            670389.58       636589.17      1306978.75
1992-1999       45            642986.14       609456.07      1252442.21
1992-1999       46            618785.46       585795.80      1204581.26
1992-1999       47            599362.50       567478.54      1166841.04
1992-1999       48            581649.92       551580.17      1133230.10
1992-1999       49            563899.64       534182.12      1098081.75
1992-1999       50            542549.60       510934.19      1053483.78
1992-1999       51            520155.12       488553.30      1008708.41
1992-1999       52            504247.42       473824.54       978071.96
1992-1999       53            489388.47       458666.10       948054.56
1992-1999       54            471716.94       438495.45       910212.39
1992-1999       55            453825.25       417160.06       870985.31
1992-1999       56            436570.94       397952.73       834523.67
1992-1999       57            419878.98       381029.36       800908.34
1992-1999       58            404018.01       366253.77       770271.78
1992-1999       59            392060.24       352948.52       745008.76
1992-1999       60            382359.25       338693.90       721053.15
1992-1999       61            372632.11       326863.60       699495.71
1992-1999       62            366676.74       320124.89       686801.63
1992-1999       63            359719.30       311841.65       671560.95
1992-1999       64            351125.25       302519.25       653644.50
1992-1999       65            344252.48       294427.59       638680.07
1992-1999       66            334367.60       283525.26       617892.86
1992-1999       67            321508.98       270657.27       592166.25
1992-1999       68            305297.14       255192.67       560489.82
1992-1999       69            286923.56       236827.78       523751.34
1992-1999       70            267018.30       216598.50       483616.79
1992-1999       71            246296.92       197266.17       443563.09
1992-1999       72            228916.16       181087.41       410003.57
1992-1999       73            213839.34       165888.14       379727.47
1992-1999       74            200456.10       152096.24       352552.35
1992-1999       75            189521.87       140170.50       329692.36
1992-1999       76            178837.35       128766.35       307603.70
1992-1999       77            168182.95       118324.44       286507.40
1992-1999       78            157653.13       108491.95       266145.08
1992-1999       79            147162.17        98508.42       245670.60
1992-1999       80            139343.74        87553.63       226897.37
1992-1999       81            128469.65        78447.02       206916.67
1992-1999       82            116875.86        69283.33       186159.20
1992-1999       83            104779.79        60041.52       164821.31
1992-1999       84             92838.64        51368.45       144207.09
1992-1999       85             81118.60        43249.95       124368.55
1992-1999       86             69686.98        35604.77       105291.75
1992-1999       87             58874.23        28796.04        87670.27
1992-1999       88             49058.71        23021.30        72080.00
1992-1999       89             40239.07        18156.63        58395.70
1992-1999       90             32416.49        14081.29        46497.78
1992-1999       91             25755.16        10715.38        36470.53
1992-1999       92             20025.15         7974.68        27999.83
1992-1999       93             15193.40         5806.11        20999.51
1992-1999       94             11288.26         4084.73        15372.98
1992-1999       95              8176.43         2806.53        10982.96
1992-1999       96              5842.46         1930.32         7772.78
1992-1999       97              4112.81         1283.74         5396.55
1992-1999       98              2817.26          824.95         3642.20
1992-1999       99              1857.26          518.95         2376.21
1992-1999      100              1164.47          314.72         1479.20
1992-1999      101               735.99          199.67          935.66
1992-1999      102               473.53          122.29          595.82
1992-1999      103               301.75           76.69          378.44
1992-1999      104               184.39           51.79          236.18
1992-1999      105               105.13           29.57          134.70
1992-1999      106                57.52           13.66           71.18
1992-1999      107                29.32            5.02           34.34
1992-1999      108                13.02            1.03           14.05
1992-1999      109                 4.15            0.04            4.19
1992-1999      110+                0.54            0.00            0.54
2000-2008        0           1072331.62      1115028.39      2187360.01
2000-2008        1           1071246.93      1112555.67      2183802.59
2000-2008        2           1084638.04      1125386.82      2210024.86
2000-2008        3           1100737.80      1142047.08      2242784.88
2000-2008        4           1117102.09      1159076.10      2276178.19
2000-2008        5           1128198.26      1170381.83      2298580.09
2000-2008        6           1150061.82      1193171.82      2343233.64
2000-2008        7           1174122.67      1218223.24      2392345.90
2000-2008        8           1199254.45      1244175.67      2443430.12
2000-2008        9           1224842.29      1270609.21      2495451.50
2000-2008       10           1251213.63      1297890.89      2549104.52
2000-2008       11           1273645.45      1321192.12      2594837.57
2000-2008       12           1284625.35      1332144.52      2616769.87
2000-2008       13           1281703.09      1327385.56      2609088.65
2000-2008       14           1268957.16      1312643.68      2581600.84
2000-2008       15           1254091.15      1297599.35      2551690.50
2000-2008       16           1238572.87      1283650.68      2522223.55
2000-2008       17           1226468.89      1271568.98      2498037.87
2000-2008       18           1220257.45      1260887.54      2481144.99
2000-2008       19           1208498.32      1244092.10      2452590.42
2000-2008       20           1190027.49      1222724.85      2412752.34
2000-2008       21           1166655.94      1198021.68      2364677.62
2000-2008       22           1141038.05      1169777.26      2310815.31
2000-2008       23           1117075.44      1140594.50      2257669.93
2000-2008       24           1098479.66      1116302.05      2214781.71
2000-2008       25           1089126.58      1102852.84      2191979.42
2000-2008       26           1082852.47      1094555.24      2177407.71
2000-2008       27           1079065.54      1089672.55      2168738.09
2000-2008       28           1079953.85      1088148.52      2168102.37
2000-2008       29           1083388.09      1088072.20      2171460.29
2000-2008       30           1086653.18      1088020.85      2174674.03
2000-2008       31           1091956.89      1091148.60      2183105.49
2000-2008       32           1097519.55      1094562.05      2192081.60
2000-2008       33           1101936.90      1095974.78      2197911.67
2000-2008       34           1105883.51      1095778.38      2201661.89
2000-2008       35           1115092.86      1100390.09      2215482.94
2000-2008       36           1122882.60      1106197.98      2229080.58
2000-2008       37           1126302.70      1109568.89      2235871.59
2000-2008       38           1126000.73      1108467.52      2234468.24
2000-2008       39           1121586.90      1102471.96      2224058.86
2000-2008       40           1118717.96      1097422.45      2216140.40
2000-2008       41           1114030.12      1091954.97      2205985.09
2000-2008       42           1095043.58      1072698.40      2167741.97
2000-2008       43           1062601.03      1038486.30      2101087.33
2000-2008       44           1024519.21       999339.63      2023858.85
2000-2008       45            997677.44       971611.48      1969288.92
2000-2008       46            973032.65       946294.98      1919327.63
2000-2008       47            941214.02       914766.15      1855980.17
2000-2008       48            904585.53       877037.70      1781623.23
2000-2008       49            865840.86       837424.73      1703265.59
2000-2008       50            833178.59       804728.44      1637907.02
2000-2008       51            801811.98       773363.10      1575175.08
2000-2008       52            768508.01       738664.16      1507172.17
2000-2008       53            735109.08       701905.97      1437015.05
2000-2008       54            702621.26       668115.73      1370736.99
2000-2008       55            675864.49       640888.86      1316753.35
2000-2008       56            650990.53       614791.23      1265781.76
2000-2008       57            628544.53       589165.88      1217710.40
2000-2008       58            607793.39       562833.68      1170627.06
2000-2008       59            586719.51       537769.78      1124489.30
2000-2008       60            566483.81       515737.70      1082221.51
2000-2008       61            546850.34       495139.12      1041989.46
2000-2008       62            525852.44       472682.25       998534.69
2000-2008       63            505755.84       449396.45       955152.28
2000-2008       64            482844.10       424704.23       907548.33
2000-2008       65            460356.10       401259.65       861615.74
2000-2008       66            434907.92       375214.73       810122.64
2000-2008       67            411912.51       350746.57       762659.09
2000-2008       68            397609.58       332283.15       729892.73
2000-2008       69            386545.55       317792.04       704337.59
2000-2008       70            378308.34       307012.32       685320.66
2000-2008       71            368926.41       294434.94       663361.35
2000-2008       72            355274.93       278020.28       633295.21
2000-2008       73            337879.62       258680.38       596560.00
2000-2008       74            316056.94       237084.27       553141.22
2000-2008       75            294986.85       217307.49       512294.34
2000-2008       76            274832.85       198600.37       473433.22
2000-2008       77            255689.52       180641.22       436330.75
2000-2008       78            237627.71       163541.77       401169.49
2000-2008       79            218378.05       144781.55       363159.60
2000-2008       80            189638.95       126611.15       316250.09
2000-2008       81            172582.67       110771.75       283354.42
2000-2008       82            157767.34        97065.72       254833.05
2000-2008       83            143914.14        84956.20       228870.34
2000-2008       84            129938.59        73479.52       203418.11
2000-2008       85            116481.80        62865.80       179347.60
2000-2008       86            103871.03        53357.47       157228.49
2000-2008       87             91512.88        44672.83       136185.71
2000-2008       88             79100.00        36802.48       115902.48
2000-2008       89             67359.93        29848.81        97208.75
2000-2008       90             56394.91        23826.25        80221.16
2000-2008       91             46113.73        18615.13        64728.86
2000-2008       92             36807.00        14169.24        50976.24
2000-2008       93             28682.29        10533.76        39216.04
2000-2008       94             21740.53         7570.53        29311.06
2000-2008       95             15991.88         5231.77        21223.65
2000-2008       96             11467.51         3562.25        15029.75
2000-2008       97              8019.78         2396.61        10416.40
2000-2008       98              5448.06         1554.90         7002.96
2000-2008       99              3617.73          981.27         4599.00
2000-2008      100              2319.54          592.33         2911.86
2000-2008      101              1439.37          346.45         1785.82
2000-2008      102               878.38          202.43         1080.81
2000-2008      103               515.59          117.85          633.43
2000-2008      104               299.81           70.09          369.91
2000-2008      105               168.52           37.41          205.93
2000-2008      106                87.67           15.30          102.97
2000-2008      107                42.73            4.51           47.25
2000-2008      108                18.86            0.82           19.68
2000-2008      109                 6.59            0.05            6.64
2000-2008      110+                0.90            0.00            0.90
