France, Civilian Population, Exposure to risk (period 1x10), 	Last modified: 27 Aug 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1816-1819        0           1645195.41      1719814.16      3365009.57
1816-1819        1           1511057.21      1562282.94      3073340.16
1816-1819        2           1435904.97      1483465.33      2919370.29
1816-1819        3           1371272.30      1419087.71      2790360.01
1816-1819        4           1320713.06      1367057.93      2687770.99
1816-1819        5           1273672.76      1319358.06      2593030.82
1816-1819        6           1244255.56      1296384.54      2540640.09
1816-1819        7           1218962.30      1275978.25      2494940.55
1816-1819        8           1196680.23      1257067.33      2453747.56
1816-1819        9           1176209.76      1236558.56      2412768.32
1816-1819       10           1165147.17      1217112.61      2382259.78
1816-1819       11           1154152.08      1192031.04      2346183.12
1816-1819       12           1144124.18      1168673.78      2312797.95
1816-1819       13           1138008.95      1150200.02      2288208.97
1816-1819       14           1133082.15      1139713.80      2272795.95
1816-1819       15           1130967.24      1133404.83      2264372.07
1816-1819       16           1133390.03      1126082.54      2259472.57
1816-1819       17           1135376.63      1118706.12      2254082.75
1816-1819       18           1133018.30      1107141.77      2240160.07
1816-1819       19           1115949.27      1086164.92      2202114.19
1816-1819       20           1101799.01      1056355.55      2158154.56
1816-1819       21           1096218.83      1019518.17      2115737.00
1816-1819       22           1084274.98       977564.50      2061839.48
1816-1819       23           1069463.18       933982.26      2003445.44
1816-1819       24           1038597.14       891252.02      1929849.16
1816-1819       25            998875.92       850112.39      1848988.31
1816-1819       26            974200.92       819153.86      1793354.78
1816-1819       27            958296.28       796135.81      1754432.10
1816-1819       28            951178.04       780900.82      1732078.86
1816-1819       29            950326.96       775566.19      1725893.14
1816-1819       30            939682.95       776721.41      1716404.36
1816-1819       31            924096.78       783569.08      1707665.86
1816-1819       32            907052.98       788907.45      1695960.43
1816-1819       33            885340.61       790080.73      1675421.34
1816-1819       34            868728.68       785637.07      1654365.75
1816-1819       35            860543.18       779306.59      1639849.77
1816-1819       36            847303.11       768873.39      1616176.50
1816-1819       37            832720.54       757354.95      1590075.49
1816-1819       38            816515.33       744431.92      1560947.25
1816-1819       39            797404.06       728060.09      1525464.15
1816-1819       40            782327.68       707363.99      1489691.67
