Hungary, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0            888884.28       935511.15      1824395.43
1950-1959        1            881840.38       923144.44      1804984.83
1950-1959        2            885077.93       925270.48      1810348.41
1950-1959        3            877531.57       916518.57      1794050.14
1950-1959        4            856225.12       893193.02      1749418.14
1950-1959        5            831998.39       865886.60      1697885.00
1950-1959        6            811481.76       842657.46      1654139.22
1950-1959        7            798147.51       827675.66      1625823.17
1950-1959        8            789356.93       817992.97      1607349.90
1950-1959        9            776742.04       804219.21      1580961.26
1950-1959       10            763681.72       788835.59      1552517.32
1950-1959       11            751823.56       774761.21      1526584.77
1950-1959       12            741924.59       762001.62      1503926.21
1950-1959       13            737344.36       753991.82      1491336.19
1950-1959       14            738231.36       752153.98      1490385.34
1950-1959       15            734760.91       745548.11      1480309.01
1950-1959       16            730485.33       737594.42      1468079.75
1950-1959       17            729716.76       733005.29      1462722.05
1950-1959       18            729764.40       727833.36      1457597.75
1950-1959       19            732259.69       724496.90      1456756.59
1950-1959       20            736024.84       722412.75      1458437.59
1950-1959       21            741009.22       724920.05      1465929.27
1950-1959       22            746482.32       730090.27      1476572.59
1950-1959       23            753714.31       736273.12      1489987.43
1950-1959       24            763712.19       742863.01      1506575.20
1950-1959       25            770927.55       746232.05      1517159.60
1950-1959       26            776450.94       747687.27      1524138.21
1950-1959       27            784434.18       749526.62      1533960.80
1950-1959       28            792838.95       750731.98      1543570.94
1950-1959       29            798156.00       748006.93      1546162.92
1950-1959       30            796051.05       738153.37      1534204.42
1950-1959       31            773083.13       711114.23      1484197.36
1950-1959       32            734866.20       671217.81      1406084.01
1950-1959       33            696377.38       632485.19      1328862.57
1950-1959       34            662215.95       597911.11      1260127.06
1950-1959       35            649958.02       581309.42      1231267.44
1950-1959       36            650361.88       576804.72      1227166.59
1950-1959       37            647321.03       573054.31      1220375.35
1950-1959       38            641933.29       570194.66      1212127.95
1950-1959       39            636660.74       568034.56      1204695.31
1950-1959       40            637004.15       571186.67      1208190.82
1950-1959       41            655815.73       590274.18      1246089.90
1950-1959       42            688178.08       620812.54      1308990.62
1950-1959       43            716583.12       647979.90      1364563.02
1950-1959       44            733916.65       665899.91      1399816.56
1950-1959       45            731214.31       666479.16      1397693.47
1950-1959       46            717582.40       657103.33      1374685.73
1950-1959       47            704106.17       647278.22      1351384.39
1950-1959       48            690030.59       636050.32      1326080.91
1950-1959       49            677399.54       624853.01      1302252.55
1950-1959       50            662750.98       612248.78      1274999.76
1950-1959       51            647148.56       597460.59      1244609.16
1950-1959       52            633564.63       581571.83      1215136.45
1950-1959       53            621305.50       564013.27      1185318.77
1950-1959       54            610536.01       546186.17      1156722.18
1950-1959       55            598613.17       527408.31      1126021.48
1950-1959       56            584101.66       506110.00      1090211.66
1950-1959       57            567140.03       482220.02      1049360.05
1950-1959       58            547412.38       456663.10      1004075.48
