Japan, Exposure to risk (period 1x10), 	Last modified: 12 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0           3636766.78      3800879.20      7437645.98
1947-1949        1           3071687.10      3188474.94      6260162.04
1947-1949        2           2674054.68      2760150.50      5434205.18
1947-1949        3           2584966.64      2651772.71      5236739.35
1947-1949        4           2771090.19      2837835.19      5608925.39
1947-1949        5           2919541.83      2990538.38      5910080.21
1947-1949        6           2875598.59      2943925.17      5819523.76
1947-1949        7           2783407.00      2847224.99      5630631.99
1947-1949        8           2585862.25      2642909.93      5228772.18
1947-1949        9           2514303.53      2569384.20      5083687.74
1947-1949       10           2521644.72      2576390.44      5098035.16
1947-1949       11           2630554.82      2684405.26      5314960.09
1947-1949       12           2614808.77      2666970.85      5281779.62
1947-1949       13           2595739.94      2646450.94      5242190.88
1947-1949       14           2556677.24      2604572.86      5161250.10
1947-1949       15           2543391.69      2589276.05      5132667.73
1947-1949       16           2536263.26      2579230.62      5115493.88
1947-1949       17           2478522.73      2509749.43      4988272.17
1947-1949       18           2446173.98      2454652.12      4900826.10
1947-1949       19           2375526.84      2363354.83      4738881.67
1947-1949       20           2348433.26      2322266.56      4670699.83
1947-1949       21           2306213.14      2246485.64      4552698.77
1947-1949       22           2263981.85      2139682.34      4403664.19
1947-1949       23           2181929.90      1966607.93      4148537.83
1947-1949       24           2092434.10      1775618.69      3868052.80
1947-1949       25           2026178.61      1622231.15      3648409.77
1947-1949       26           1970423.27      1520993.81      3491417.08
1947-1949       27           1919520.26      1477483.14      3397003.40
1947-1949       28           1811554.98      1423191.30      3234746.28
1947-1949       29           1725401.08      1392172.71      3117573.79
1947-1949       30           1655768.93      1368749.32      3024518.25
1947-1949       31           1663998.79      1398631.66      3062630.45
1947-1949       32           1661994.69      1413290.70      3075285.39
1947-1949       33           1655345.06      1424576.24      3079921.30
1947-1949       34           1625886.59      1414584.45      3040471.04
1947-1949       35           1606868.85      1409692.66      3016561.50
1947-1949       36           1579530.12      1400259.45      2979789.57
1947-1949       37           1550028.04      1396122.42      2946150.45
1947-1949       38           1504691.65      1381878.90      2886570.56
1947-1949       39           1457559.64      1365680.79      2823240.43
1947-1949       40           1404037.92      1350327.05      2754364.97
1947-1949       41           1315794.81      1298170.33      2613965.14
1947-1949       42           1246222.85      1249593.79      2495816.64
1947-1949       43           1199035.96      1210785.66      2409821.62
1947-1949       44           1206290.00      1222888.31      2429178.31
1947-1949       45           1209636.15      1234936.70      2444572.85
1947-1949       46           1200944.23      1232128.36      2433072.59
1947-1949       47           1167380.56      1201499.02      2368879.58
1947-1949       48           1116315.92      1151439.72      2267755.65
1947-1949       49           1062078.58      1100039.99      2162118.58
1947-1949       50           1012956.16      1053885.43      2066841.59
1947-1949       51            976596.55      1017286.16      1993882.71
1947-1949       52            943262.76       979903.57      1923166.33
1947-1949       53            907326.87       936338.42      1843665.28
1947-1949       54            869738.66       892129.92      1761868.59
1947-1949       55            831085.57       847084.36      1678169.94
1947-1949       56            802003.99       808176.55      1610180.53
1947-1949       57            790613.93       784937.08      1575551.01
1947-1949       58            788379.56       771282.18      1559661.74
1947-1949       59            779967.66       752115.61      1532083.27
1947-1949       60            743279.68       706838.88      1450118.56
1947-1949       61            695570.33       647855.16      1343425.49
1947-1949       62            662960.13       599667.28      1262627.41
1947-1949       63            648750.10       568763.29      1217513.40
1947-1949       64            639814.29       545356.82      1185171.11
1947-1949       65            625968.63       520741.65      1146710.27
1947-1949       66            605086.77       494449.02      1099535.79
1947-1949       67            576642.71       463987.23      1040629.93
1947-1949       68            547038.13       431862.86       978900.99
1947-1949       69            518741.86       400255.64       918997.50
1947-1949       70            490789.05       370798.08       861587.12
1947-1949       71            458121.37       338409.17       796530.55
1947-1949       72            419244.74       301496.87       720741.61
1947-1949       73            376163.15       263412.60       639575.75
1947-1949       74            333737.39       227174.94       560912.33
1947-1949       75            290943.22       193371.89       484315.10
1947-1949       76            245841.97       159588.45       405430.42
1947-1949       77            204562.84       129246.84       333809.68
1947-1949       78            176077.11       107298.18       283375.29
1947-1949       79            156164.15        91644.12       247808.27
1947-1949       80            137309.98        77685.17       214995.15
1947-1949       81            116119.98        63135.74       179255.72
1947-1949       82             97105.33        50524.93       147630.27
1947-1949       83             78895.99        39736.60       118632.60
1947-1949       84             59599.10        29104.91        88704.01
1947-1949       85             42730.75        20180.81        62911.57
1947-1949       86             31344.37        14201.20        45545.58
1947-1949       87             24007.48        10452.74        34460.23
1947-1949       88             18589.24         7987.50        26576.74
1947-1949       89             14037.89         5919.48        19957.38
1947-1949       90             10175.94         4166.84        14342.78
1947-1949       91              7177.27         2817.64         9994.91
1947-1949       92              4897.63         1792.88         6690.51
1947-1949       93              3205.91         1144.28         4350.19
1947-1949       94              2046.32          745.80         2792.12
1947-1949       95              1228.95          478.70         1707.65
1947-1949       96               742.34          280.46         1022.80
1947-1949       97               453.27          173.57          626.84
1947-1949       98               260.04          118.04          378.08
1947-1949       99               148.35           72.19          220.54
1947-1949      100                81.17           34.17          115.34
1947-1949      101                44.67           15.50           60.17
1947-1949      102                26.33           10.50           36.83
1947-1949      103                18.50            5.17           23.67
1947-1949      104                10.50            2.17           12.67
1947-1949      105                 6.33            2.50            8.83
1947-1949      106                 3.33            1.50            4.83
1947-1949      107                 2.83            2.17            5.00
1947-1949      108                 2.50            0.83            3.33
1947-1949      109                 2.67            0.50            3.17
1947-1949      110+               16.83            5.50           22.33
1950-1959        0           8975692.17      9409638.98     18385331.16
1950-1959        1           9221182.92      9634752.24     18855935.16
1950-1959        2           9622717.07     10044216.26     19666933.33
1950-1959        3           9883346.45     10312294.19     20195640.64
1950-1959        4           9828956.62     10249093.90     20078050.52
1950-1959        5           9834376.35     10239504.29     20073880.64
1950-1959        6           9962437.98     10354481.09     20316919.07
1950-1959        7          10008168.26     10385915.62     20394083.88
1950-1959        8          10040495.23     10402206.35     20442701.58
1950-1959        9           9933353.34     10273700.87     20207054.21
1950-1959       10           9675861.82      9990141.01     19666002.83
1950-1959       11           9284294.99      9565388.58     18849683.57
1950-1959       12           8956135.02      9200593.97     18156728.99
1950-1959       13           8770592.01      8981878.94     17752470.96
1950-1959       14           8911014.40      9103540.99     18014555.39
1950-1959       15           8919853.80      9090150.45     18010004.24
1950-1959       16           8790690.47      8933561.27     17724251.74
1950-1959       17           8694751.11      8805861.93     17500613.04
1950-1959       18           8531729.11      8607008.84     17138737.95
1950-1959       19           8426930.85      8466671.81     16893602.66
1950-1959       20           8350286.73      8357288.78     16707575.51
1950-1959       21           8334602.09      8312018.27     16646620.35
1950-1959       22           8218188.74      8175257.71     16393446.44
1950-1959       23           8111853.21      8046609.03     16158462.24
1950-1959       24           7958437.14      7859939.38     15818376.53
1950-1959       25           7816907.82      7667077.87     15483985.69
1950-1959       26           7649483.62      7419159.50     15068643.12
1950-1959       27           7455647.83      7109095.25     14564743.07
1950-1959       28           7275701.99      6794416.81     14070118.80
1950-1959       29           7076616.73      6463206.34     13539823.06
1950-1959       30           6907369.71      6176659.29     13084029.00
1950-1959       31           6664533.56      5842979.68     12507513.25
1950-1959       32           6454359.66      5551090.75     12005450.41
1950-1959       33           6244744.82      5273899.63     11518644.45
1950-1959       34           6054840.92      5038465.31     11093306.23
1950-1959       35           5886275.36      4855681.81     10741957.18
1950-1959       36           5748224.72      4743584.58     10491809.30
1950-1959       37           5617195.64      4677954.23     10295149.87
1950-1959       38           5495436.93      4640302.04     10135738.97
1950-1959       39           5368131.76      4604623.86      9972755.62
1950-1959       40           5241713.51      4566202.53      9807916.04
1950-1959       41           5178197.85      4569376.10      9747573.95
1950-1959       42           5092365.88      4553802.02      9646167.90
1950-1959       43           4982617.95      4519942.50      9502560.45
1950-1959       44           4820313.24      4431212.14      9251525.38
1950-1959       45           4670094.13      4346706.38      9016800.51
1950-1959       46           4519726.61      4262092.98      8781819.60
1950-1959       47           4388244.76      4193465.92      8581710.68
1950-1959       48           4257643.98      4123425.21      8381069.19
1950-1959       49           4130300.43      4046079.58      8176380.01
1950-1959       50           3994519.25      3951800.07      7946319.33
