Korea, Exposure to risk (period 1x10), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2003-2009        0           1502713.06      1614518.91      3117231.97
2003-2009        1           1602185.72      1725950.40      3328136.13
2003-2009        2           1658543.76      1794813.51      3453357.27
2003-2009        3           1739038.48      1889428.27      3628466.75
2003-2009        4           1828961.08      1992876.07      3821837.15
2003-2009        5           1926842.22      2102320.47      4029162.70
2003-2009        6           2019306.86      2207522.79      4226829.65
2003-2009        7           2115781.52      2323488.93      4439270.45
2003-2009        8           2197693.88      2428517.44      4626211.32
2003-2009        9           2240195.57      2493546.52      4733742.09
2003-2009       10           2270850.66      2541673.91      4812524.57
2003-2009       11           2306452.31      2589531.48      4895983.79
2003-2009       12           2306887.26      2603854.18      4910741.44
2003-2009       13           2279855.79      2584106.57      4863962.35
2003-2009       14           2247175.44      2544697.03      4791872.47
2003-2009       15           2208930.73      2489694.89      4698625.62
2003-2009       16           2172702.94      2430734.08      4603437.02
2003-2009       17           2140568.83      2379433.84      4520002.67
2003-2009       18           2118550.59      2340002.33      4458552.91
2003-2009       19           2144048.69      2345600.85      4489649.54
2003-2009       20           2226490.06      2411268.74      4637758.80
2003-2009       21           2332314.05      2507303.93      4839617.98
2003-2009       22           2444181.12      2613937.63      5058118.75
2003-2009       23           2553894.28      2714797.24      5268691.51
2003-2009       24           2625883.38      2778418.95      5404302.32
2003-2009       25           2677126.58      2822344.28      5499470.86
2003-2009       26           2716531.79      2851962.63      5568494.42
2003-2009       27           2717270.05      2844106.27      5561376.32
2003-2009       28           2719673.83      2837426.95      5557100.78
2003-2009       29           2744112.35      2853399.75      5597512.10
2003-2009       30           2776314.21      2886149.23      5662463.44
2003-2009       31           2847124.76      2962069.80      5809194.55
2003-2009       32           2935618.28      3054744.74      5990363.02
2003-2009       33           3009683.48      3132085.61      6141769.09
2003-2009       34           3085933.33      3205187.66      6291120.99
2003-2009       35           3127043.50      3234851.19      6361894.69
2003-2009       36           3106185.78      3220512.82      6326698.60
2003-2009       37           3071600.31      3197345.01      6268945.32
2003-2009       38           3039191.00      3156452.15      6195643.15
2003-2009       39           2981693.30      3099884.58      6081577.88
2003-2009       40           2936845.10      3065947.87      6002792.97
2003-2009       41           2922561.72      3060781.18      5983342.89
2003-2009       42           2936766.01      3080477.74      6017243.75
2003-2009       43           2971343.69      3103000.67      6074344.37
2003-2009       44           2973145.88      3090198.87      6063344.76
2003-2009       45           2943552.05      3060415.89      6003967.94
2003-2009       46           2913833.87      3020430.01      5934263.87
2003-2009       47           2866375.83      2948866.53      5815242.36
2003-2009       48           2763215.58      2828850.94      5592066.52
2003-2009       49           2594649.75      2655121.09      5249770.84
2003-2009       50           2436675.91      2488898.69      4925574.60
2003-2009       51           2290901.99      2330456.70      4621358.69
2003-2009       52           2134031.98      2157647.58      4291679.56
2003-2009       53           2005461.86      2015486.67      4020948.52
2003-2009       54           1886103.46      1891143.79      3777247.24
2003-2009       55           1790310.19      1786618.02      3576928.20
2003-2009       56           1721539.71      1705491.96      3427031.66
2003-2009       57           1622454.04      1598638.95      3221092.99
2003-2009       58           1549655.12      1510794.81      3060449.93
2003-2009       59           1520983.00      1461203.52      2982186.51
2003-2009       60           1509683.82      1428203.18      2937887.00
2003-2009       61           1501827.72      1396474.48      2898302.20
2003-2009       62           1460871.27      1332886.07      2793757.33
2003-2009       63           1437097.11      1283871.69      2720968.80
2003-2009       64           1443690.45      1262391.59      2706082.04
2003-2009       65           1437376.85      1232566.33      2669943.18
2003-2009       66           1412240.94      1187608.29      2599849.23
2003-2009       67           1356145.83      1111873.65      2468019.47
2003-2009       68           1288113.92      1023878.03      2311991.95
2003-2009       69           1233598.02       949629.82      2183227.85
2003-2009       70           1172369.80       870910.25      2043280.05
2003-2009       71           1103245.09       785908.07      1889153.16
2003-2009       72           1036506.94       703220.71      1739727.64
2003-2009       73            973230.84       627353.30      1600584.14
