Denmark, Life tables (period 1x10), Females	Last modified: 23 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1835-1839        0      0.18159  0.16148  0.31  100000   16148   88924  4239882  42.40
1835-1839        1      0.04559  0.04457  0.50   83852    3738   81983  4150958  49.50
1835-1839        2      0.03259  0.03207  0.50   80114    2569   78830  4068975  50.79
1835-1839        3      0.02084  0.02062  0.50   77545    1599   76745  3990145  51.46
1835-1839        4      0.01352  0.01343  0.50   75946    1020   75436  3913400  51.53
1835-1839        5      0.01114  0.01108  0.50   74926     830   74511  3837964  51.22
1835-1839        6      0.00988  0.00983  0.50   74096     728   73732  3763453  50.79
1835-1839        7      0.00872  0.00868  0.50   73368     637   73049  3689722  50.29
1835-1839        8      0.00774  0.00771  0.50   72731     561   72450  3616673  49.73
1835-1839        9      0.00705  0.00702  0.50   72170     507   71916  3544222  49.11
1835-1839       10      0.00660  0.00658  0.50   71663     471   71427  3472306  48.45
1835-1839       11      0.00624  0.00622  0.50   71192     443   70970  3400879  47.77
1835-1839       12      0.00595  0.00593  0.50   70749     420   70539  3329908  47.07
1835-1839       13      0.00574  0.00573  0.50   70330     403   70128  3259369  46.34
1835-1839       14      0.00561  0.00559  0.50   69927     391   69731  3189241  45.61
1835-1839       15      0.00554  0.00553  0.50   69536     384   69344  3119510  44.86
1835-1839       16      0.00556  0.00554  0.50   69151     383   68960  3050166  44.11
1835-1839       17      0.00564  0.00562  0.50   68768     387   68575  2981206  43.35
1835-1839       18      0.00580  0.00579  0.50   68381     396   68184  2912631  42.59
1835-1839       19      0.00607  0.00605  0.50   67986     411   67780  2844448  41.84
1835-1839       20      0.00646  0.00644  0.50   67575     435   67357  2776667  41.09
1835-1839       21      0.00690  0.00688  0.50   67139     462   66909  2709311  40.35
1835-1839       22      0.00732  0.00730  0.50   66678     487   66434  2642402  39.63
1835-1839       23      0.00770  0.00767  0.50   66191     508   65937  2575967  38.92
1835-1839       24      0.00798  0.00794  0.50   65683     522   65422  2510030  38.21
1835-1839       25      0.00815  0.00812  0.50   65162     529   64897  2444608  37.52
1835-1839       26      0.00833  0.00829  0.50   64632     536   64364  2379711  36.82
1835-1839       27      0.00853  0.00849  0.50   64096     544   63824  2315347  36.12
1835-1839       28      0.00877  0.00873  0.50   63552     555   63275  2251522  35.43
1835-1839       29      0.00905  0.00901  0.50   62997     568   62714  2188248  34.74
1835-1839       30      0.00932  0.00928  0.50   62430     579   62140  2125534  34.05
1835-1839       31      0.00955  0.00950  0.50   61851     588   61557  2063394  33.36
1835-1839       32      0.00982  0.00977  0.50   61263     598   60964  2001837  32.68
1835-1839       33      0.01014  0.01009  0.50   60665     612   60358  1940874  31.99
1835-1839       34      0.01054  0.01049  0.50   60052     630   59738  1880515  31.31
1835-1839       35      0.01103  0.01097  0.50   59423     652   59097  1820778  30.64
1835-1839       36      0.01151  0.01144  0.50   58771     673   58435  1761681  29.98
1835-1839       37      0.01190  0.01183  0.50   58099     687   57755  1703246  29.32
1835-1839       38      0.01218  0.01211  0.50   57411     695   57063  1645491  28.66
1835-1839       39      0.01233  0.01225  0.50   56716     695   56369  1588428  28.01
1835-1839       40      0.01227  0.01219  0.50   56021     683   55680  1532059  27.35
1835-1839       41      0.01217  0.01210  0.50   55338     669   55003  1476380  26.68
1835-1839       42      0.01219  0.01211  0.50   54669     662   54338  1421376  26.00
1835-1839       43      0.01234  0.01226  0.50   54006     662   53675  1367039  25.31
1835-1839       44      0.01265  0.01257  0.50   53344     671   53009  1313363  24.62
1835-1839       45      0.01324  0.01315  0.50   52674     693   52327  1260354  23.93
1835-1839       46      0.01403  0.01394  0.50   51981     724   51619  1208027  23.24
