Greece, Life tables (period 1x10), Females	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1981-1989        0      0.01154  0.01143  0.13  100000    1143   99000  7861104  78.61
1981-1989        1      0.00054  0.00054  0.50   98857      54   98830  7762104  78.52
1981-1989        2      0.00038  0.00038  0.50   98803      38   98785  7663273  77.56
1981-1989        3      0.00029  0.00029  0.50   98766      29   98751  7564489  76.59
1981-1989        4      0.00023  0.00023  0.50   98737      23   98725  7465738  75.61
1981-1989        5      0.00022  0.00022  0.50   98714      22   98703  7367012  74.63
1981-1989        6      0.00021  0.00021  0.50   98692      20   98682  7268310  73.65
1981-1989        7      0.00019  0.00019  0.50   98672      19   98662  7169628  72.66
1981-1989        8      0.00017  0.00017  0.50   98652      16   98644  7070966  71.68
1981-1989        9      0.00018  0.00018  0.50   98636      18   98627  6972322  70.69
1981-1989       10      0.00018  0.00018  0.50   98618      17   98610  6873694  69.70
1981-1989       11      0.00015  0.00015  0.50   98601      15   98593  6775085  68.71
1981-1989       12      0.00015  0.00015  0.50   98586      14   98579  6676491  67.72
1981-1989       13      0.00018  0.00018  0.50   98571      18   98563  6577913  66.73
1981-1989       14      0.00021  0.00021  0.50   98554      20   98544  6479350  65.74
1981-1989       15      0.00027  0.00027  0.50   98533      27   98520  6380806  64.76
1981-1989       16      0.00031  0.00031  0.50   98506      30   98491  6282286  63.78
1981-1989       17      0.00031  0.00031  0.50   98476      31   98461  6183795  62.79
1981-1989       18      0.00036  0.00036  0.50   98445      35   98428  6085334  61.81
1981-1989       19      0.00035  0.00035  0.50   98410      35   98393  5986906  60.84
1981-1989       20      0.00038  0.00038  0.50   98376      37   98357  5888513  59.86
1981-1989       21      0.00041  0.00041  0.50   98339      40   98318  5790156  58.88
1981-1989       22      0.00040  0.00040  0.50   98298      39   98279  5691838  57.90
1981-1989       23      0.00043  0.00043  0.50   98259      43   98238  5593559  56.93
1981-1989       24      0.00035  0.00035  0.50   98216      34   98199  5495321  55.95
1981-1989       25      0.00039  0.00039  0.50   98182      39   98163  5397122  54.97
1981-1989       26      0.00040  0.00040  0.50   98144      40   98124  5298959  53.99
1981-1989       27      0.00040  0.00040  0.50   98104      39   98085  5200835  53.01
1981-1989       28      0.00046  0.00046  0.50   98065      45   98043  5102750  52.03
1981-1989       29      0.00045  0.00045  0.50   98020      44   97998  5004708  51.06
1981-1989       30      0.00049  0.00049  0.50   97976      48   97952  4906710  50.08
1981-1989       31      0.00047  0.00047  0.50   97928      46   97905  4808758  49.11
1981-1989       32      0.00055  0.00055  0.50   97882      54   97855  4710853  48.13
1981-1989       33      0.00052  0.00052  0.50   97828      51   97802  4612998  47.15
1981-1989       34      0.00061  0.00061  0.50   97777      60   97747  4515196  46.18
1981-1989       35      0.00071  0.00071  0.50   97717      69   97682  4417449  45.21
1981-1989       36      0.00068  0.00068  0.50   97647      67   97614  4319767  44.24
1981-1989       37      0.00072  0.00072  0.50   97581      71   97546  4222153  43.27
1981-1989       38      0.00080  0.00080  0.50   97510      78   97471  4124607  42.30
1981-1989       39      0.00079  0.00079  0.50   97432      77   97394  4027136  41.33
1981-1989       40      0.00097  0.00097  0.50   97355      95   97308  3929742  40.37
1981-1989       41      0.00103  0.00103  0.50   97260     100   97210  3832434  39.40
1981-1989       42      0.00105  0.00105  0.50   97160     102   97109  3735224  38.44
1981-1989       43      0.00124  0.00124  0.50   97058     120   96998  3638115  37.48
1981-1989       44      0.00134  0.00134  0.50   96938     129   96873  3541116  36.53
1981-1989       45      0.00142  0.00142  0.50   96809     137   96740  3444243  35.58
1981-1989       46      0.00162  0.00162  0.50   96671     157   96593  3347503  34.63
1981-1989       47      0.00169  0.00169  0.50   96515     163   96433  3250910  33.68
1981-1989       48      0.00181  0.00180  0.50   96352     174   96265  3154477  32.74
1981-1989       49      0.00205  0.00205  0.50   96178     197   96079  3058211  31.80
1981-1989       50      0.00240  0.00239  0.50   95981     230   95866  2962132  30.86
1981-1989       51      0.00250  0.00249  0.50   95751     239   95632  2866266  29.93
1981-1989       52      0.00286  0.00285  0.50   95512     273   95376  2770635  29.01
1981-1989       53      0.00300  0.00299  0.50   95240     285   95097  2675259  28.09
1981-1989       54      0.00333  0.00333  0.50   94954     316   94796  2580162  27.17
1981-1989       55      0.00390  0.00389  0.50   94639     368   94454  2485365  26.26
1981-1989       56      0.00408  0.00407  0.50   94270     384   94078  2390911  25.36
1981-1989       57      0.00447  0.00446  0.50   93887     419   93677  2296833  24.46
1981-1989       58      0.00481  0.00480  0.50   93467     449   93243  2203155  23.57
