Croatia, Life tables (period 1x10), Females	Last modified: 20 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2002-2009        0      0.00551  0.00549  0.14  100000     549   99527  7894858  78.95
2002-2009        1      0.00035  0.00035  0.50   99451      34   99434  7795331  78.38
2002-2009        2      0.00017  0.00017  0.50   99417      17   99408  7695897  77.41
2002-2009        3      0.00015  0.00015  0.50   99400      15   99392  7596489  76.42
2002-2009        4      0.00011  0.00011  0.50   99385      11   99379  7497096  75.44
2002-2009        5      0.00014  0.00014  0.50   99373      14   99366  7397717  74.44
2002-2009        6      0.00012  0.00012  0.50   99359      12   99354  7298351  73.45
2002-2009        7      0.00009  0.00009  0.50   99348       9   99343  7198997  72.46
2002-2009        8      0.00013  0.00013  0.50   99338      12   99332  7099654  71.47
2002-2009        9      0.00011  0.00011  0.50   99326      11   99320  7000322  70.48
2002-2009       10      0.00009  0.00009  0.50   99315       9   99311  6901002  69.49
2002-2009       11      0.00014  0.00014  0.50   99306      14   99299  6801691  68.49
2002-2009       12      0.00005  0.00005  0.50   99292       5   99290  6702392  67.50
2002-2009       13      0.00010  0.00010  0.50   99287      10   99282  6603103  66.51
2002-2009       14      0.00013  0.00013  0.50   99277      13   99270  6503821  65.51
2002-2009       15      0.00016  0.00016  0.50   99264      16   99256  6404551  64.52
2002-2009       16      0.00024  0.00024  0.50   99248      24   99236  6305295  63.53
2002-2009       17      0.00026  0.00026  0.50   99224      26   99211  6206059  62.55
2002-2009       18      0.00038  0.00038  0.50   99198      38   99179  6106848  61.56
2002-2009       19      0.00036  0.00036  0.50   99160      35   99143  6007669  60.59
2002-2009       20      0.00032  0.00032  0.50   99125      31   99109  5908526  59.61
2002-2009       21      0.00030  0.00030  0.50   99094      30   99079  5809417  58.63
2002-2009       22      0.00033  0.00033  0.50   99064      33   99048  5710338  57.64
2002-2009       23      0.00028  0.00028  0.50   99031      28   99017  5611291  56.66
2002-2009       24      0.00035  0.00035  0.50   99003      34   98986  5512273  55.68
2002-2009       25      0.00032  0.00032  0.50   98969      32   98953  5413287  54.70
2002-2009       26      0.00027  0.00027  0.50   98937      27   98923  5314335  53.71
2002-2009       27      0.00028  0.00028  0.50   98910      28   98896  5215412  52.73
2002-2009       28      0.00035  0.00035  0.50   98882      34   98865  5116516  51.74
2002-2009       29      0.00035  0.00035  0.50   98848      35   98830  5017651  50.76
2002-2009       30      0.00042  0.00042  0.50   98813      41   98792  4918821  49.78
2002-2009       31      0.00034  0.00034  0.50   98772      33   98755  4820028  48.80
2002-2009       32      0.00043  0.00043  0.50   98738      42   98717  4721273  47.82
2002-2009       33      0.00051  0.00051  0.50   98696      50   98671  4622556  46.84
2002-2009       34      0.00049  0.00049  0.50   98646      48   98622  4523884  45.86
2002-2009       35      0.00059  0.00059  0.50   98598      59   98568  4425262  44.88
2002-2009       36      0.00063  0.00063  0.50   98539      62   98508  4326694  43.91
2002-2009       37      0.00071  0.00071  0.50   98477      70   98442  4228186  42.94
2002-2009       38      0.00088  0.00088  0.50   98407      87   98364  4129743  41.97
2002-2009       39      0.00088  0.00088  0.50   98321      86   98278  4031379  41.00
2002-2009       40      0.00089  0.00089  0.50   98234      87   98191  3933102  40.04
2002-2009       41      0.00123  0.00123  0.50   98147     120   98087  3834911  39.07
2002-2009       42      0.00108  0.00108  0.50   98027     106   97974  3736824  38.12
2002-2009       43      0.00126  0.00126  0.50   97921     124   97859  3638850  37.16
2002-2009       44      0.00138  0.00138  0.50   97797     135   97730  3540991  36.21
2002-2009       45      0.00164  0.00164  0.50   97663     160   97583  3443261  35.26
2002-2009       46      0.00195  0.00195  0.50   97503     190   97408  3345678  34.31
2002-2009       47      0.00229  0.00228  0.50   97313     222   97201  3248271  33.38
2002-2009       48      0.00239  0.00239  0.50   97090     232   96974  3151069  32.46
2002-2009       49      0.00244  0.00244  0.50   96859     236   96740  3054095  31.53
2002-2009       50      0.00280  0.00280  0.50   96622     270   96487  2957354  30.61
2002-2009       51      0.00314  0.00314  0.50   96352     302   96201  2860867  29.69
2002-2009       52      0.00344  0.00343  0.50   96050     330   95885  2764666  28.78
2002-2009       53      0.00359  0.00359  0.50   95720     343   95549  2668781  27.88
2002-2009       54      0.00407  0.00406  0.50   95377     388   95183  2573233  26.98
2002-2009       55      0.00437  0.00436  0.50   94989     414   94782  2478050  26.09
2002-2009       56      0.00434  0.00433  0.50   94575     409   94370  2383268  25.20
2002-2009       57      0.00516  0.00515  0.50   94166     485   93923  2288897  24.31
2002-2009       58      0.00547  0.00546  0.50   93681     511   93425  2194974  23.43
2002-2009       59      0.00597  0.00596  0.50   93170     555   92892  2101548  22.56
2002-2009       60      0.00653  0.00651  0.50   92615     603   92313  2008656  21.69
2002-2009       61      0.00753  0.00750  0.50   92012     690   91667  1916343  20.83
2002-2009       62      0.00788  0.00785  0.50   91322     717   90963  1824676  19.98
2002-2009       63      0.00860  0.00856  0.50   90605     776   90217  1733713  19.13
2002-2009       64      0.00972  0.00968  0.50   89829     869   89394  1643496  18.30
2002-2009       65      0.01100  0.01094  0.50   88960     974   88473  1554101  17.47
2002-2009       66      0.01218  0.01210  0.50   87986    1065   87454  1465628  16.66
2002-2009       67      0.01368  0.01358  0.50   86921    1181   86331  1378174  15.86
2002-2009       68      0.01552  0.01540  0.50   85741    1320   85080  1291843  15.07
2002-2009       69      0.01764  0.01749  0.50   84420    1477   83682  1206763  14.29
2002-2009       70      0.01985  0.01966  0.50   82944    1630   82129  1123081  13.54
2002-2009       71      0.02241  0.02216  0.50   81313    1802   80412  1040952  12.80
2002-2009       72      0.02554  0.02522  0.50   79511    2005   78509   960540  12.08
2002-2009       73      0.02833  0.02793  0.50   77506    2165   76424   882031  11.38
2002-2009       74      0.03330  0.03275  0.50   75341    2468   74108   805607  10.69
2002-2009       75      0.03887  0.03813  0.50   72874    2779   71484   731500  10.04
2002-2009       76      0.04396  0.04302  0.50   70095    3015   68587   660015   9.42
2002-2009       77      0.05010  0.04888  0.50   67080    3279   65440   591428   8.82
2002-2009       78      0.05627  0.05473  0.50   63801    3492   62055   525987   8.24
2002-2009       79      0.06483  0.06279  0.50   60309    3787   58416   463932   7.69
2002-2009       80      0.07266  0.07011  0.50   56522    3963   54541   405517   7.17
2002-2009       81      0.08391  0.08053  0.50   52559    4233   50443   350976   6.68
2002-2009       82      0.09708  0.09258  0.50   48327    4474   46090   300533   6.22
2002-2009       83      0.10726  0.10180  0.50   43852    4464   41620   254443   5.80
2002-2009       84      0.11906  0.11237  0.50   39388    4426   37175   212823   5.40
2002-2009       85      0.13157  0.12345  0.50   34962    4316   32804   175648   5.02
2002-2009       86      0.14411  0.13443  0.50   30646    4120   28586   142844   4.66
2002-2009       87      0.17096  0.15750  0.50   26527    4178   24438   114257   4.31
2002-2009       88      0.18516  0.16947  0.50   22349    3787   20455    89820   4.02
2002-2009       89      0.21135  0.19115  0.50   18561    3548   16787    69365   3.74
2002-2009       90      0.22715  0.20398  0.50   15013    3062   13482    52578   3.50
2002-2009       91      0.24761  0.22033  0.50   11951    2633   10634    39095   3.27
2002-2009       92      0.26820  0.23648  0.50    9318    2203    8216    28461   3.05
2002-2009       93      0.29096  0.25401  0.50    7114    1807    6211    20245   2.85
2002-2009       94      0.32105  0.27664  0.50    5307    1468    4573    14035   2.64
2002-2009       95      0.35430  0.30098  0.50    3839    1155    3261     9462   2.46
2002-2009       96      0.38399  0.32214  0.50    2684     864    2251     6200   2.31
2002-2009       97      0.41457  0.34339  0.50    1819     625    1507     3949   2.17
2002-2009       98      0.44582  0.36456  0.50    1194     435     977     2442   2.04
2002-2009       99      0.47751  0.38547  0.50     759     293     613     1466   1.93
2002-2009      100      0.50937  0.40598  0.50     466     189     372      853   1.83
2002-2009      101      0.54117  0.42592  0.50     277     118     218      481   1.74
2002-2009      102      0.57263  0.44517  0.50     159      71     124      263   1.65
2002-2009      103      0.60351  0.46361  0.50      88      41      68      140   1.58
2002-2009      104      0.63359  0.48116  0.50      47      23      36       72   1.52
2002-2009      105      0.66267  0.49775  0.50      25      12      18       36   1.46
2002-2009      106      0.69056  0.51332  0.50      12       6       9       17   1.41
2002-2009      107      0.71713  0.52786  0.50       6       3       4        8   1.36
2002-2009      108      0.74227  0.54136  0.50       3       2       2        4   1.32
2002-2009      109      0.76591  0.55382  0.50       1       1       1        2   1.29
2002-2009      110+     0.78800  1.00000  1.27       1       1       1        1   1.27
2010-2016        0      0.00391  0.00390  0.14  100000     390   99665  8052964  80.53
2010-2016        1      0.00022  0.00022  0.50   99610      22   99599  7953299  79.84
2010-2016        2      0.00022  0.00022  0.50   99588      22   99577  7853700  78.86
2010-2016        3      0.00008  0.00008  0.50   99566       8   99562  7754123  77.88
2010-2016        4      0.00013  0.00013  0.50   99559      12   99552  7654561  76.88
2010-2016        5      0.00010  0.00010  0.50   99546      10   99541  7555008  75.89
2010-2016        6      0.00011  0.00011  0.50   99536      11   99530  7455468  74.90
2010-2016        7      0.00009  0.00009  0.50   99525       9   99520  7355937  73.91
2010-2016        8      0.00009  0.00009  0.50   99515       9   99511  7256418  72.92
2010-2016        9      0.00009  0.00009  0.50   99507       9   99502  7156907  71.92
2010-2016       10      0.00011  0.00011  0.50   99498      11   99493  7057404  70.93
2010-2016       11      0.00006  0.00006  0.50   99487       6   99484  6957911  69.94
2010-2016       12      0.00008  0.00008  0.50   99481       8   99477  6858427  68.94
2010-2016       13      0.00008  0.00008  0.50   99473       8   99469  6758950  67.95
2010-2016       14      0.00012  0.00012  0.50   99465      12   99459  6659481  66.95
2010-2016       15      0.00012  0.00012  0.50   99453      12   99447  6560021  65.96
2010-2016       16      0.00016  0.00016  0.50   99441      16   99433  6460574  64.97
2010-2016       17      0.00025  0.00025  0.50   99425      25   99413  6361141  63.98
2010-2016       18      0.00017  0.00017  0.50   99401      17   99392  6261728  62.99
2010-2016       19      0.00017  0.00017  0.50   99384      17   99376  6162335  62.01
2010-2016       20      0.00021  0.00021  0.50   99367      21   99357  6062960  61.02
2010-2016       21      0.00021  0.00021  0.50   99346      20   99336  5963603  60.03
2010-2016       22      0.00017  0.00017  0.50   99326      17   99318  5864267  59.04
2010-2016       23      0.00026  0.00026  0.50   99309      26   99296  5764949  58.05
2010-2016       24      0.00024  0.00024  0.50   99284      23   99272  5665653  57.07
2010-2016       25      0.00025  0.00025  0.50   99260      25   99248  5566381  56.08
2010-2016       26      0.00027  0.00027  0.50   99235      27   99222  5467133  55.09
2010-2016       27      0.00027  0.00027  0.50   99209      27   99196  5367911  54.11
2010-2016       28      0.00026  0.00026  0.50   99182      26   99169  5268715  53.12
2010-2016       29      0.00029  0.00029  0.50   99157      29   99142  5169546  52.14
2010-2016       30      0.00028  0.00028  0.50   99128      27   99114  5070404  51.15
2010-2016       31      0.00035  0.00035  0.50   99100      35   99083  4971290  50.16
2010-2016       32      0.00040  0.00040  0.50   99065      39   99046  4872207  49.18
2010-2016       33      0.00043  0.00043  0.50   99026      43   99004  4773161  48.20
2010-2016       34      0.00035  0.00035  0.50   98983      35   98965  4674157  47.22
2010-2016       35      0.00042  0.00042  0.50   98948      42   98927  4575192  46.24
2010-2016       36      0.00052  0.00052  0.50   98906      51   98880  4476265  45.26
2010-2016       37      0.00068  0.00068  0.50   98855      67   98821  4377384  44.28
2010-2016       38      0.00064  0.00064  0.50   98787      63   98756  4278563  43.31
2010-2016       39      0.00071  0.00071  0.50   98724      70   98689  4179808  42.34
2010-2016       40      0.00078  0.00078  0.50   98654      77   98615  4081119  41.37
2010-2016       41      0.00097  0.00097  0.50   98577      96   98529  3982504  40.40
2010-2016       42      0.00096  0.00096  0.50   98481      95   98434  3883975  39.44
2010-2016       43      0.00104  0.00104  0.50   98387     103   98335  3785541  38.48
2010-2016       44      0.00122  0.00122  0.50   98284     120   98224  3687206  37.52
2010-2016       45      0.00138  0.00138  0.50   98164     135   98096  3588982  36.56
2010-2016       46      0.00168  0.00168  0.50   98028     165   97946  3490886  35.61
2010-2016       47      0.00170  0.00169  0.50   97864     166   97781  3392940  34.67
2010-2016       48      0.00199  0.00199  0.50   97698     194   97601  3295159  33.73
2010-2016       49      0.00218  0.00217  0.50   97503     212   97397  3197558  32.79
2010-2016       50      0.00243  0.00243  0.50   97291     236   97173  3100161  31.86
2010-2016       51      0.00277  0.00277  0.50   97055     268   96921  3002988  30.94
2010-2016       52      0.00306  0.00305  0.50   96787     295   96639  2906067  30.03
2010-2016       53      0.00315  0.00315  0.50   96491     304   96339  2809428  29.12
2010-2016       54      0.00335  0.00334  0.50   96187     321   96027  2713089  28.21
2010-2016       55      0.00394  0.00393  0.50   95866     377   95678  2617062  27.30
2010-2016       56      0.00420  0.00419  0.50   95489     400   95289  2521385  26.40
2010-2016       57      0.00449  0.00448  0.50   95089     426   94876  2426096  25.51
2010-2016       58      0.00519  0.00518  0.50   94663     490   94418  2331220  24.63
2010-2016       59      0.00576  0.00574  0.50   94173     540   93903  2236802  23.75
2010-2016       60      0.00612  0.00610  0.50   93632     571   93347  2142899  22.89
2010-2016       61      0.00648  0.00646  0.50   93061     601   92761  2049552  22.02
2010-2016       62      0.00722  0.00720  0.50   92460     666   92127  1956792  21.16
2010-2016       63      0.00753  0.00750  0.50   91795     689   91450  1864664  20.31
2010-2016       64      0.00828  0.00825  0.50   91106     751   90730  1773214  19.46
2010-2016       65      0.00900  0.00896  0.50   90355     810   89950  1682484  18.62
2010-2016       66      0.01051  0.01046  0.50   89545     936   89076  1592534  17.78
2010-2016       67      0.01143  0.01137  0.50   88608    1007   88105  1503458  16.97
2010-2016       68      0.01275  0.01267  0.50   87601    1110   87046  1415353  16.16
2010-2016       69      0.01420  0.01410  0.50   86491    1220   85881  1328307  15.36
2010-2016       70      0.01620  0.01607  0.50   85271    1370   84586  1242426  14.57
2010-2016       71      0.01789  0.01773  0.50   83901    1487   83158  1157840  13.80
2010-2016       72      0.01989  0.01970  0.50   82414    1623   81602  1074682  13.04
2010-2016       73      0.02283  0.02258  0.50   80791    1824   79879   993080  12.29
2010-2016       74      0.02659  0.02624  0.50   78967    2072   77931   913201  11.56
2010-2016       75      0.03002  0.02958  0.50   76895    2274   75758   835270  10.86
2010-2016       76      0.03470  0.03411  0.50   74621    2545   73348   759513  10.18
2010-2016       77      0.03974  0.03897  0.50   72076    2809   70671   686164   9.52
2010-2016       78      0.04608  0.04504  0.50   69267    3120   67707   615493   8.89
2010-2016       79      0.05295  0.05158  0.50   66147    3412   64441   547786   8.28
2010-2016       80      0.06087  0.05907  0.50   62735    3706   60882   483345   7.70
2010-2016       81      0.07085  0.06843  0.50   59029    4039   57010   422462   7.16
2010-2016       82      0.08095  0.07780  0.50   54990    4279   52851   365453   6.65
2010-2016       83      0.09515  0.09083  0.50   50712    4606   48409   312601   6.16
