Ireland, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.03390  0.03298  0.18  100000    3298   97289  6933882  69.34
1950-1959        1      0.00299  0.00298  0.50   96702     288   96557  6836593  70.70
1950-1959        2      0.00164  0.00163  0.50   96413     158   96335  6740036  69.91
1950-1959        3      0.00110  0.00110  0.50   96256     106   96203  6643701  69.02
1950-1959        4      0.00092  0.00092  0.50   96150      89   96106  6547498  68.10
1950-1959        5      0.00079  0.00079  0.50   96061      75   96024  6451392  67.16
1950-1959        6      0.00066  0.00066  0.50   95986      63   95954  6355369  66.21
1950-1959        7      0.00057  0.00057  0.50   95922      55   95895  6259414  65.25
1950-1959        8      0.00048  0.00048  0.50   95868      46   95845  6163519  64.29
1950-1959        9      0.00037  0.00037  0.50   95821      36   95804  6067675  63.32
1950-1959       10      0.00045  0.00045  0.50   95786      43   95765  5971871  62.35
1950-1959       11      0.00043  0.00043  0.50   95743      41   95722  5876107  61.37
1950-1959       12      0.00045  0.00045  0.50   95702      43   95680  5780384  60.40
1950-1959       13      0.00047  0.00047  0.50   95659      45   95636  5684704  59.43
1950-1959       14      0.00061  0.00061  0.50   95614      58   95585  5589067  58.45
1950-1959       15      0.00065  0.00065  0.50   95556      62   95525  5493482  57.49
1950-1959       16      0.00080  0.00080  0.50   95494      76   95456  5397958  56.53
1950-1959       17      0.00079  0.00079  0.50   95418      76   95380  5302502  55.57
1950-1959       18      0.00085  0.00085  0.50   95342      81   95301  5207122  54.62
1950-1959       19      0.00090  0.00090  0.50   95261      85   95218  5111821  53.66
1950-1959       20      0.00108  0.00108  0.50   95175     103   95124  5016603  52.71
1950-1959       21      0.00106  0.00105  0.50   95073     100   95023  4921479  51.77
1950-1959       22      0.00113  0.00113  0.50   94972     108   94919  4826456  50.82
1950-1959       23      0.00139  0.00139  0.50   94865     131   94799  4731537  49.88
1950-1959       24      0.00138  0.00137  0.50   94733     130   94668  4636738  48.95
1950-1959       25      0.00132  0.00132  0.50   94603     125   94541  4542070  48.01
1950-1959       26      0.00143  0.00143  0.50   94478     135   94411  4447529  47.07
1950-1959       27      0.00146  0.00146  0.50   94344     137   94275  4353118  46.14
1950-1959       28      0.00167  0.00167  0.50   94206     157   94128  4258843  45.21
1950-1959       29      0.00184  0.00184  0.50   94049     173   93963  4164716  44.28
1950-1959       30      0.00200  0.00200  0.50   93876     188   93782  4070753  43.36
1950-1959       31      0.00166  0.00166  0.50   93688     155   93611  3976971  42.45
1950-1959       32      0.00213  0.00213  0.50   93533     199   93434  3883360  41.52
1950-1959       33      0.00194  0.00193  0.50   93334     181   93244  3789927  40.61
1950-1959       34      0.00214  0.00214  0.50   93154     199   93054  3696682  39.68
1950-1959       35      0.00242  0.00242  0.50   92955     225   92842  3603628  38.77
1950-1959       36      0.00245  0.00245  0.50   92730     227   92617  3510786  37.86
1950-1959       37      0.00229  0.00229  0.50   92503     212   92397  3418169  36.95
1950-1959       38      0.00338  0.00337  0.50   92291     311   92136  3325772  36.04
1950-1959       39      0.00279  0.00279  0.50   91980     257   91852  3233637  35.16
1950-1959       40      0.00373  0.00373  0.50   91724     342   91553  3141785  34.25
1950-1959       41      0.00250  0.00249  0.50   91382     228   91268  3050232  33.38
1950-1959       42      0.00394  0.00393  0.50   91154     358   90975  2958964  32.46
1950-1959       43      0.00358  0.00357  0.50   90795     325   90633  2867990  31.59
1950-1959       44      0.00352  0.00351  0.50   90471     318   90312  2777357  30.70
1950-1959       45      0.00448  0.00447  0.50   90153     403   89951  2687045  29.81
1950-1959       46      0.00466  0.00465  0.50   89750     417   89541  2597093  28.94
1950-1959       47      0.00446  0.00445  0.50   89333     398   89134  2507552  28.07
1950-1959       48      0.00579  0.00577  0.50   88935     513   88678  2418418  27.19
1950-1959       49      0.00520  0.00518  0.50   88422     458   88193  2329739  26.35
1950-1959       50      0.00884  0.00880  0.50   87964     774   87577  2241547  25.48
1950-1959       51      0.00538  0.00537  0.50   87190     468   86956  2153970  24.70
1950-1959       52      0.00817  0.00814  0.50   86722     706   86369  2067014  23.83
1950-1959       53      0.00808  0.00805  0.50   86016     692   85670  1980646  23.03
1950-1959       54      0.00924  0.00920  0.50   85323     785   84931  1894976  22.21
1950-1959       55      0.00906  0.00902  0.50   84539     763   84157  1810045  21.41
1950-1959       56      0.01188  0.01181  0.50   83776     990   83281  1725887  20.60
1950-1959       57      0.00971  0.00967  0.50   82787     800   82386  1642606  19.84
1950-1959       58      0.01331  0.01322  0.50   81986    1084   81444  1560220  19.03
1950-1959       59      0.01095  0.01089  0.50   80902     881   80462  1478776  18.28
1950-1959       60      0.02154  0.02131  0.50   80021    1705   79169  1398314  17.47
1950-1959       61      0.01286  0.01277  0.50   78316    1000   77816  1319145  16.84
1950-1959       62      0.01864  0.01847  0.50   77316    1428   76602  1241330  16.06
1950-1959       63      0.01909  0.01891  0.50   75888    1435   75170  1164728  15.35
1950-1959       64      0.02258  0.02232  0.50   74453    1662   73622  1089558  14.63
1950-1959       65      0.02846  0.02806  0.50   72791    2043   71769  1015936  13.96
1950-1959       66      0.02169  0.02146  0.50   70748    1518   69989   944167  13.35
1950-1959       67      0.02418  0.02389  0.50   69230    1654   68403   874178  12.63
1950-1959       68      0.03325  0.03271  0.50   67576    2210   66471   805775  11.92
1950-1959       69      0.03128  0.03080  0.50   65366    2013   64359   739304  11.31
1950-1959       70      0.04800  0.04687  0.50   63352    2969   61868   674946  10.65
1950-1959       71      0.03838  0.03765  0.50   60383    2274   59246   613078  10.15
1950-1959       72      0.05356  0.05216  0.50   58109    3031   56594   553832   9.53
1950-1959       73      0.05693  0.05536  0.50   55078    3049   53554   497238   9.03
1950-1959       74      0.06612  0.06400  0.50   52029    3330   50364   443685   8.53
1950-1959       75      0.07485  0.07215  0.50   48699    3514   46942   393320   8.08
1950-1959       76      0.07966  0.07661  0.50   45186    3462   43455   346378   7.67
1950-1959       77      0.07698  0.07412  0.50   41724    3093   40178   302923   7.26
1950-1959       78      0.09645  0.09201  0.50   38631    3554   36854   262745   6.80
1950-1959       79      0.08700  0.08337  0.50   35077    2924   33615   225891   6.44
1950-1959       80      0.13392  0.12551  0.50   32153    4036   30135   192277   5.98
1950-1959       81      0.09627  0.09185  0.50   28117    2583   26826   162142   5.77
1950-1959       82      0.13476  0.12625  0.50   25534    3224   23922   135316   5.30
1950-1959       83      0.13839  0.12943  0.50   22311    2888   20867   111394   4.99
1950-1959       84      0.17548  0.16132  0.50   19423    3133   17856    90527   4.66
1950-1959       85      0.17556  0.16139  0.50   16289    2629   14975    72671   4.46
1950-1959       86      0.20892  0.18916  0.50   13660    2584   12368    57696   4.22
1950-1959       87      0.20709  0.18766  0.50   11076    2079   10037    45327   4.09
1950-1959       88      0.20697  0.18756  0.50    8998    1688    8154    35290   3.92
1950-1959       89      0.20374  0.18491  0.50    7310    1352    6634    27136   3.71
1950-1959       90      0.28333  0.24817  0.50    5959    1479    5219    20502   3.44
1950-1959       91      0.21066  0.19059  0.50    4480     854    4053    15283   3.41
1950-1959       92      0.27316  0.24033  0.50    3626     871    3190    11230   3.10
1950-1959       93      0.29186  0.25469  0.50    2755     702    2404     8039   2.92
1950-1959       94      0.31676  0.27345  0.50    2053     561    1772     5636   2.75
1950-1959       95      0.34559  0.29467  0.50    1492     440    1272     3863   2.59
1950-1959       96      0.36698  0.31008  0.50    1052     326     889     2591   2.46
1950-1959       97      0.38890  0.32559  0.50     726     236     608     1703   2.35
1950-1959       98      0.41129  0.34114  0.50     490     167     406     1095   2.24
1950-1959       99      0.43405  0.35665  0.50     323     115     265      689   2.14
1950-1959      100      0.45709  0.37206  0.50     207      77     169      424   2.04
1950-1959      101      0.48032  0.38730  0.50     130      50     105      255   1.96
1950-1959      102      0.50363  0.40232  0.50      80      32      64      150   1.88
1950-1959      103      0.52693  0.41705  0.50      48      20      38       86   1.80
1950-1959      104      0.55011  0.43144  0.50      28      12      22       48   1.74
1950-1959      105      0.57307  0.44544  0.50      16       7      12       26   1.68
1950-1959      106      0.59572  0.45900  0.50       9       4       7       14   1.62
1950-1959      107      0.61798  0.47210  0.50       5       2       4        7   1.57
1950-1959      108      0.63974  0.48470  0.50       3       1       2        4   1.53
1950-1959      109      0.66095  0.49678  0.50       1       1       1        2   1.49
1950-1959      110+     0.68153  1.00000  1.47       1       1       1        1   1.47
1960-1969        0      0.02299  0.02254  0.14  100000    2254   98052  7257653  72.58
1960-1969        1      0.00152  0.00152  0.50   97746     149   97671  7159601  73.25
1960-1969        2      0.00099  0.00099  0.50   97597      96   97549  7061930  72.36
1960-1969        3      0.00071  0.00071  0.50   97501      69   97466  6964381  71.43
1960-1969        4      0.00048  0.00048  0.50   97432      46   97408  6866915  70.48
1960-1969        5      0.00046  0.00046  0.50   97385      45   97363  6769506  69.51
1960-1969        6      0.00044  0.00044  0.50   97340      42   97319  6672144  68.54
1960-1969        7      0.00028  0.00028  0.50   97298      27   97284  6574825  67.57
1960-1969        8      0.00036  0.00036  0.50   97271      35   97253  6477540  66.59
1960-1969        9      0.00030  0.00030  0.50   97236      29   97221  6380287  65.62
1960-1969       10      0.00029  0.00029  0.50   97206      28   97192  6283066  64.64
1960-1969       11      0.00030  0.00030  0.50   97178      29   97164  6185874  63.66
1960-1969       12      0.00028  0.00028  0.50   97149      27   97135  6088711  62.67
1960-1969       13      0.00024  0.00024  0.50   97122      24   97110  5991575  61.69
1960-1969       14      0.00028  0.00028  0.50   97098      28   97084  5894465  60.71
1960-1969       15      0.00031  0.00031  0.50   97070      30   97055  5797381  59.72
1960-1969       16      0.00029  0.00029  0.50   97040      28   97026  5700326  58.74
1960-1969       17      0.00042  0.00042  0.50   97013      41   96992  5603299  57.76
1960-1969       18      0.00035  0.00035  0.50   96971      34   96954  5506307  56.78
1960-1969       19      0.00050  0.00050  0.50   96937      48   96913  5409353  55.80
1960-1969       20      0.00050  0.00050  0.50   96889      48   96865  5312440  54.83
1960-1969       21      0.00045  0.00045  0.50   96840      44   96818  5215575  53.86
1960-1969       22      0.00056  0.00056  0.50   96796      54   96769  5118757  52.88
1960-1969       23      0.00064  0.00064  0.50   96742      62   96711  5021988  51.91
1960-1969       24      0.00055  0.00055  0.50   96680      53   96654  4925276  50.94
1960-1969       25      0.00066  0.00066  0.50   96627      64   96595  4828623  49.97
1960-1969       26      0.00059  0.00059  0.50   96563      57   96534  4732028  49.00
1960-1969       27      0.00076  0.00076  0.50   96506      73   96469  4635493  48.03
1960-1969       28      0.00079  0.00079  0.50   96432      76   96394  4539024  47.07
1960-1969       29      0.00086  0.00086  0.50   96356      83   96315  4442630  46.11
1960-1969       30      0.00113  0.00113  0.50   96274     109   96219  4346315  45.15
1960-1969       31      0.00086  0.00086  0.50   96164      83   96123  4250096  44.20
1960-1969       32      0.00118  0.00118  0.50   96082     113   96025  4153973  43.23
1960-1969       33      0.00114  0.00113  0.50   95968     109   95914  4057948  42.28
1960-1969       34      0.00129  0.00129  0.50   95859     124   95797  3962034  41.33
1960-1969       35      0.00139  0.00139  0.50   95735     133   95669  3866237  40.38
1960-1969       36      0.00160  0.00160  0.50   95602     153   95526  3770568  39.44
1960-1969       37      0.00137  0.00137  0.50   95449     130   95384  3675042  38.50
1960-1969       38      0.00185  0.00184  0.50   95319     176   95231  3579658  37.55
1960-1969       39      0.00183  0.00183  0.50   95143     174   95056  3484427  36.62
1960-1969       40      0.00246  0.00246  0.50   94969     234   94852  3389371  35.69
1960-1969       41      0.00193  0.00193  0.50   94736     183   94644  3294519  34.78
1960-1969       42      0.00291  0.00290  0.50   94553     274   94415  3199875  33.84
1960-1969       43      0.00269  0.00269  0.50   94278     253   94152  3105459  32.94
1960-1969       44      0.00267  0.00266  0.50   94025     250   93900  3011308  32.03
1960-1969       45      0.00371  0.00370  0.50   93774     347   93601  2917408  31.11
1960-1969       46      0.00356  0.00355  0.50   93427     332   93261  2823807  30.22
1960-1969       47      0.00387  0.00386  0.50   93095     359   92915  2730546  29.33
1960-1969       48      0.00447  0.00446  0.50   92736     413   92529  2637630  28.44
1960-1969       49      0.00467  0.00466  0.50   92322     430   92107  2545101  27.57
1960-1969       50      0.00678  0.00676  0.50   91892     621   91582  2452994  26.69
1960-1969       51      0.00482  0.00480  0.50   91271     439   91052  2361412  25.87
1960-1969       52      0.00720  0.00718  0.50   90833     652   90507  2270360  24.99
1960-1969       53      0.00658  0.00656  0.50   90181     592   89885  2179854  24.17
1960-1969       54      0.00797  0.00794  0.50   89589     711   89234  2089969  23.33
1960-1969       55      0.00728  0.00725  0.50   88878     644   88556  2000735  22.51
1960-1969       56      0.00931  0.00927  0.50   88234     818   87825  1912179  21.67
1960-1969       57      0.00865  0.00861  0.50   87416     753   87039  1824354  20.87
1960-1969       58      0.01097  0.01091  0.50   86663     946   86190  1737315  20.05
1960-1969       59      0.01015  0.01010  0.50   85717     866   85284  1651125  19.26
1960-1969       60      0.01624  0.01611  0.50   84852    1367   84168  1565840  18.45
1960-1969       61      0.01113  0.01106  0.50   83485     924   83023  1481672  17.75
1960-1969       62      0.01669  0.01655  0.50   82561    1367   81878  1398650  16.94
1960-1969       63      0.01666  0.01653  0.50   81194    1342   80523  1316772  16.22
1960-1969       64      0.01906  0.01888  0.50   79853    1508   79099  1236248  15.48
1960-1969       65      0.02382  0.02354  0.50   78345    1844   77423  1157150  14.77
1960-1969       66      0.01985  0.01966  0.50   76500    1504   75749  1079727  14.11
1960-1969       67      0.02205  0.02180  0.50   74997    1635   74179  1003979  13.39
1960-1969       68      0.02857  0.02816  0.50   73361    2066   72328   929800  12.67
1960-1969       69      0.02833  0.02793  0.50   71295    1991   70300   857471  12.03
1960-1969       70      0.04158  0.04073  0.50   69304    2823   67892   787172  11.36
1960-1969       71      0.03109  0.03061  0.50   66481    2035   65463   719280  10.82
1960-1969       72      0.04661  0.04555  0.50   64446    2935   62978   653816  10.15
1960-1969       73      0.04845  0.04731  0.50   61510    2910   60055   590838   9.61
1960-1969       74      0.05766  0.05604  0.50   58601    3284   56959   530783   9.06
1960-1969       75      0.06442  0.06241  0.50   55316    3452   53590   473824   8.57
1960-1969       76      0.07132  0.06886  0.50   51864    3571   50079   420234   8.10
1960-1969       77      0.06798  0.06574  0.50   48293    3175   46705   370155   7.66
