Luxembourg, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1969        0      0.02113  0.02075  0.13  100000    2075   98192  7264520  72.65
1960-1969        1      0.00253  0.00253  0.50   97925     248   97801  7166328  73.18
1960-1969        2      0.00097  0.00097  0.50   97677      95   97630  7068527  72.37
1960-1969        3      0.00065  0.00065  0.50   97582      63   97551  6970898  71.44
1960-1969        4      0.00085  0.00085  0.50   97519      83   97478  6873347  70.48
1960-1969        5      0.00045  0.00045  0.50   97436      44   97414  6775869  69.54
1960-1969        6      0.00066  0.00066  0.50   97392      64   97360  6678455  68.57
1960-1969        7      0.00050  0.00050  0.50   97328      48   97304  6581095  67.62
1960-1969        8      0.00063  0.00063  0.50   97280      62   97249  6483791  66.65
1960-1969        9      0.00013  0.00013  0.50   97218      13   97212  6386541  65.69
1960-1969       10      0.00026  0.00026  0.50   97206      26   97193  6289329  64.70
1960-1969       11      0.00036  0.00036  0.50   97180      35   97163  6192136  63.72
1960-1969       12      0.00027  0.00027  0.50   97146      26   97133  6094973  62.74
1960-1969       13      0.00032  0.00032  0.50   97120      31   97104  5997840  61.76
1960-1969       14      0.00019  0.00019  0.50   97089      18   97080  5900736  60.78
1960-1969       15      0.00024  0.00024  0.50   97071      23   97059  5803656  59.79
1960-1969       16      0.00047  0.00047  0.50   97048      46   97025  5706597  58.80
1960-1969       17      0.00038  0.00038  0.50   97002      37   96983  5609573  57.83
1960-1969       18      0.00052  0.00052  0.50   96965      51   96940  5512589  56.85
1960-1969       19      0.00043  0.00043  0.50   96914      42   96893  5415650  55.88
1960-1969       20      0.00067  0.00067  0.50   96872      65   96840  5318756  54.90
1960-1969       21      0.00062  0.00062  0.50   96807      60   96777  5221917  53.94
1960-1969       22      0.00067  0.00066  0.50   96748      64   96715  5125139  52.97
1960-1969       23      0.00047  0.00047  0.50   96683      46   96660  5028424  52.01
1960-1969       24      0.00033  0.00033  0.50   96637      32   96622  4931763  51.03
1960-1969       25      0.00060  0.00060  0.50   96606      58   96577  4835142  50.05
