Latvia, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1969        0      0.01833  0.01804  0.12  100000    1804   98408  7417385  74.17
1960-1969        1      0.00213  0.00213  0.50   98196     209   98091  7318976  74.53
1960-1969        2      0.00141  0.00141  0.50   97987     138   97918  7220885  73.69
1960-1969        3      0.00091  0.00091  0.50   97848      89   97804  7122967  72.80
1960-1969        4      0.00071  0.00071  0.50   97760      70   97725  7025163  71.86
1960-1969        5      0.00066  0.00066  0.50   97690      64   97658  6927439  70.91
1960-1969        6      0.00055  0.00055  0.50   97625      54   97599  6829781  69.96
1960-1969        7      0.00054  0.00054  0.50   97572      53   97545  6732183  69.00
1960-1969        8      0.00050  0.00050  0.50   97519      49   97494  6634637  68.03
1960-1969        9      0.00041  0.00041  0.50   97470      40   97450  6537143  67.07
1960-1969       10      0.00039  0.00039  0.50   97430      38   97411  6439694  66.10
1960-1969       11      0.00040  0.00040  0.50   97392      39   97372  6342283  65.12
1960-1969       12      0.00045  0.00045  0.50   97352      44   97330  6244911  64.15
1960-1969       13      0.00036  0.00036  0.50   97309      35   97291  6147581  63.18
1960-1969       14      0.00039  0.00039  0.50   97273      38   97254  6050290  62.20
1960-1969       15      0.00052  0.00052  0.50   97236      51   97210  5953035  61.22
1960-1969       16      0.00057  0.00057  0.50   97185      55   97157  5855825  60.25
1960-1969       17      0.00060  0.00060  0.50   97130      59   97100  5758668  59.29
1960-1969       18      0.00063  0.00063  0.50   97071      61   97040  5661567  58.32
1960-1969       19      0.00073  0.00073  0.50   97010      71   96974  5564527  57.36
1960-1969       20      0.00082  0.00081  0.50   96938      79   96899  5467553  56.40
1960-1969       21      0.00089  0.00089  0.50   96859      86   96816  5370654  55.45
1960-1969       22      0.00088  0.00088  0.50   96773      85   96731  5273838  54.50
1960-1969       23      0.00090  0.00090  0.50   96688      87   96645  5177107  53.54
1960-1969       24      0.00088  0.00088  0.50   96601      85   96559  5080463  52.59
1960-1969       25      0.00093  0.00093  0.50   96516      89   96472  4983904  51.64
1960-1969       26      0.00103  0.00102  0.50   96427      99   96377  4887432  50.69
1960-1969       27      0.00102  0.00102  0.50   96328      98   96279  4791055  49.74
1960-1969       28      0.00105  0.00104  0.50   96230     101   96180  4694776  48.79
1960-1969       29      0.00102  0.00102  0.50   96129      98   96080  4598596  47.84
1960-1969       30      0.00107  0.00107  0.50   96032     103   95980  4502516  46.89
1960-1969       31      0.00121  0.00121  0.50   95929     116   95871  4406536  45.94
1960-1969       32      0.00117  0.00116  0.50   95813     112   95757  4310665  44.99
1960-1969       33      0.00118  0.00118  0.50   95701     113   95645  4214907  44.04
1960-1969       34      0.00137  0.00137  0.50   95589     131   95523  4119262  43.09
1960-1969       35      0.00137  0.00137  0.50   95458     131   95393  4023739  42.15
1960-1969       36      0.00144  0.00144  0.50   95328     137   95259  3928346  41.21
1960-1969       37      0.00166  0.00166  0.50   95190     158   95111  3833087  40.27
1960-1969       38      0.00176  0.00176  0.50   95033     167   94949  3737976  39.33
1960-1969       39      0.00179  0.00179  0.50   94865     170   94780  3643027  38.40
1960-1969       40      0.00184  0.00184  0.50   94695     174   94608  3548247  37.47
1960-1969       41      0.00223  0.00223  0.50   94521     211   94416  3453638  36.54
1960-1969       42      0.00248  0.00248  0.50   94310     234   94193  3359223  35.62
1960-1969       43      0.00263  0.00263  0.50   94076     247   93953  3265029  34.71
1960-1969       44      0.00256  0.00256  0.50   93829     240   93709  3171076  33.80
1960-1969       45      0.00281  0.00280  0.50   93589     262   93458  3077367  32.88
