Portugal, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1940-1949        0      0.12488  0.11503  0.31  100000   11503   92110  5528439  55.28
1940-1949        1      0.04571  0.04469  0.50   88497    3955   86520  5436329  61.43
1940-1949        2      0.01896  0.01879  0.50   84542    1588   83748  5349809  63.28
1940-1949        3      0.00942  0.00937  0.50   82954     778   82565  5266061  63.48
1940-1949        4      0.00602  0.00600  0.50   82176     493   81930  5183496  63.08
1940-1949        5      0.00402  0.00402  0.50   81683     328   81519  5101566  62.46
1940-1949        6      0.00329  0.00328  0.50   81355     267   81222  5020047  61.71
1940-1949        7      0.00273  0.00273  0.50   81088     221   80977  4938826  60.91
1940-1949        8      0.00225  0.00225  0.50   80867     182   80776  4857848  60.07
1940-1949        9      0.00216  0.00216  0.50   80685     174   80598  4777072  59.21
1940-1949       10      0.00186  0.00186  0.50   80511     150   80436  4696474  58.33
1940-1949       11      0.00178  0.00178  0.50   80361     143   80290  4616038  57.44
1940-1949       12      0.00186  0.00186  0.50   80219     149   80144  4535748  56.54
1940-1949       13      0.00205  0.00205  0.50   80070     164   79987  4455604  55.65
1940-1949       14      0.00226  0.00226  0.50   79905     181   79815  4375616  54.76
1940-1949       15      0.00249  0.00248  0.50   79725     198   79626  4295801  53.88
1940-1949       16      0.00287  0.00287  0.50   79527     228   79413  4216175  53.02
1940-1949       17      0.00316  0.00315  0.50   79299     250   79174  4136762  52.17
1940-1949       18      0.00357  0.00356  0.50   79049     282   78908  4057589  51.33
1940-1949       19      0.00362  0.00362  0.50   78767     285   78625  3978681  50.51
1940-1949       20      0.00394  0.00393  0.50   78482     308   78328  3900056  49.69
1940-1949       21      0.00387  0.00387  0.50   78174     302   78023  3821728  48.89
1940-1949       22      0.00423  0.00422  0.50   77872     329   77707  3743706  48.08
1940-1949       23      0.00414  0.00413  0.50   77543     320   77383  3665998  47.28
1940-1949       24      0.00427  0.00426  0.50   77223     329   77058  3588616  46.47
1940-1949       25      0.00423  0.00422  0.50   76894     324   76732  3511557  45.67
1940-1949       26      0.00424  0.00423  0.50   76570     324   76408  3434825  44.86
1940-1949       27      0.00430  0.00429  0.50   76246     327   76082  3358418  44.05
1940-1949       28      0.00445  0.00444  0.50   75919     337   75750  3282335  43.23
1940-1949       29      0.00395  0.00394  0.50   75581     298   75432  3206585  42.43
1940-1949       30      0.00444  0.00443  0.50   75284     333   75117  3131153  41.59
1940-1949       31      0.00381  0.00380  0.50   74950     285   74808  3056036  40.77
1940-1949       32      0.00435  0.00434  0.50   74665     324   74503  2981228  39.93
1940-1949       33      0.00454  0.00453  0.50   74341     337   74172  2906725  39.10
1940-1949       34      0.00438  0.00437  0.50   74004     323   73842  2832553  38.28
1940-1949       35      0.00460  0.00459  0.50   73681     338   73511  2758711  37.44
1940-1949       36      0.00465  0.00464  0.50   73342     341   73172  2685199  36.61
1940-1949       37      0.00459  0.00458  0.50   73002     335   72834  2612027  35.78
1940-1949       38      0.00525  0.00524  0.50   72667     381   72477  2539193  34.94
1940-1949       39      0.00470  0.00469  0.50   72286     339   72117  2466716  34.12
1940-1949       40      0.00556  0.00555  0.50   71947     399   71748  2394600  33.28
1940-1949       41      0.00433  0.00432  0.50   71548     309   71393  2322852  32.47
1940-1949       42      0.00577  0.00575  0.50   71239     410   71034  2251459  31.60
1940-1949       43      0.00516  0.00515  0.50   70829     365   70647  2180425  30.78
1940-1949       44      0.00557  0.00555  0.50   70464     391   70269  2109778  29.94
1940-1949       45      0.00631  0.00629  0.50   70073     441   69853  2039509  29.11
1940-1949       46      0.00584  0.00582  0.50   69632     405   69430  1969657  28.29
1940-1949       47      0.00579  0.00577  0.50   69227     400   69027  1900227  27.45
1940-1949       48      0.00720  0.00718  0.50   68827     494   68580  1831200  26.61
1940-1949       49      0.00652  0.00650  0.50   68333     444   68111  1762619  25.79
1940-1949       50      0.00872  0.00869  0.50   67890     590   67595  1694508  24.96
1940-1949       51      0.00673  0.00671  0.50   67300     452   67074  1626913  24.17
1940-1949       52      0.00896  0.00892  0.50   66848     596   66550  1559839  23.33
1940-1949       53      0.00888  0.00884  0.50   66252     586   65959  1493289  22.54
1940-1949       54      0.00938  0.00934  0.50   65666     613   65359  1427330  21.74
1940-1949       55      0.01098  0.01092  0.50   65053     710   64698  1361970  20.94
1940-1949       56      0.01122  0.01116  0.50   64342     718   63983  1297273  20.16
1940-1949       57      0.01102  0.01096  0.50   63624     697   63276  1233289  19.38
1940-1949       58      0.01330  0.01321  0.50   62927     831   62511  1170014  18.59
1940-1949       59      0.01213  0.01206  0.50   62096     749   61721  1107502  17.84
1940-1949       60      0.02054  0.02033  0.50   61347    1247   60723  1045781  17.05
1940-1949       61      0.01298  0.01290  0.50   60100     775   59712   985058  16.39
1940-1949       62      0.01912  0.01894  0.50   59324    1123   58763   925346  15.60
1940-1949       63      0.02090  0.02069  0.50   58201    1204   57599   866583  14.89
1940-1949       64      0.02244  0.02219  0.50   56997    1265   56364   808984  14.19
1940-1949       65      0.02934  0.02892  0.50   55732    1612   54926   752619  13.50
1940-1949       66      0.02838  0.02798  0.50   54120    1515   53363   697693  12.89
1940-1949       67      0.02952  0.02909  0.50   52606    1530   51841   644330  12.25
1940-1949       68      0.03678  0.03611  0.50   51075    1844   50153   592489  11.60
1940-1949       69      0.03081  0.03034  0.50   49231    1494   48484   542336  11.02
1940-1949       70      0.05991  0.05816  0.50   47737    2777   46349   493852  10.35
1940-1949       71      0.03596  0.03532  0.50   44961    1588   44167   447503   9.95
1940-1949       72      0.05594  0.05442  0.50   43373    2360   42192   403337   9.30
1940-1949       73      0.05663  0.05507  0.50   41012    2259   39883   361144   8.81
1940-1949       74      0.06308  0.06115  0.50   38754    2370   37569   321261   8.29
1940-1949       75      0.08711  0.08347  0.50   36384    3037   34865   283693   7.80
1940-1949       76      0.08000  0.07693  0.50   33347    2565   32064   248828   7.46
1940-1949       77      0.08939  0.08556  0.50   30781    2634   29464   216764   7.04
1940-1949       78      0.11532  0.10903  0.50   28148    3069   26613   187299   6.65
1940-1949       79      0.09310  0.08896  0.50   25079    2231   23963   160686   6.41
1940-1949       80      0.15967  0.14786  0.50   22848    3378   21158   136723   5.98
1940-1949       81      0.09278  0.08867  0.50   19469    1726   18606   115565   5.94
1940-1949       82      0.13424  0.12580  0.50   17743    2232   16627    96958   5.46
1940-1949       83      0.13370  0.12532  0.50   15511    1944   14539    80331   5.18
1940-1949       84      0.15545  0.14424  0.50   13567    1957   12589    65792   4.85
1940-1949       85      0.20472  0.18571  0.50   11610    2156   10532    53204   4.58
1940-1949       86      0.18329  0.16790  0.50    9454    1587    8660    42671   4.51
1940-1949       87      0.19074  0.17413  0.50    7867    1370    7182    34011   4.32
1940-1949       88      0.22465  0.20196  0.50    6497    1312    5841    26829   4.13
1940-1949       89      0.17955  0.16476  0.50    5185     854    4758    20988   4.05
1940-1949       90      0.32872  0.28232  0.50    4331    1223    3719    16231   3.75
1940-1949       91      0.16594  0.15323  0.50    3108     476    2870    12511   4.03
1940-1949       92      0.23650  0.21149  0.50    2632     557    2353     9642   3.66
1940-1949       93      0.22297  0.20060  0.50    2075     416    1867     7288   3.51
