Slovakia, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.05663  0.05437  0.27  100000    5437   96012  6805051  68.05
1950-1959        1      0.00558  0.00556  0.50   94563     526   94300  6709040  70.95
1950-1959        2      0.00244  0.00244  0.50   94037     229   93923  6614740  70.34
1950-1959        3      0.00151  0.00151  0.50   93808     142   93737  6520817  69.51
1950-1959        4      0.00104  0.00104  0.50   93666      97   93617  6427080  68.62
1950-1959        5      0.00068  0.00068  0.50   93569      64   93537  6333463  67.69
1950-1959        6      0.00062  0.00062  0.50   93505      58   93476  6239926  66.73
1950-1959        7      0.00056  0.00056  0.50   93447      53   93420  6146450  65.77
1950-1959        8      0.00050  0.00050  0.50   93394      47   93371  6053030  64.81
1950-1959        9      0.00046  0.00046  0.50   93347      43   93326  5959659  63.84
1950-1959       10      0.00047  0.00047  0.50   93305      44   93282  5866333  62.87
1950-1959       11      0.00047  0.00047  0.50   93260      43   93239  5773050  61.90
1950-1959       12      0.00042  0.00042  0.50   93217      39   93198  5679812  60.93
1950-1959       13      0.00056  0.00056  0.50   93178      52   93152  5586614  59.96
1950-1959       14      0.00058  0.00058  0.50   93126      54   93099  5493462  58.99
1950-1959       15      0.00070  0.00070  0.50   93072      65   93039  5400363  58.02
1950-1959       16      0.00081  0.00081  0.50   93007      75   92969  5307324  57.06
1950-1959       17      0.00089  0.00089  0.50   92932      82   92890  5214355  56.11
1950-1959       18      0.00101  0.00101  0.50   92849      93   92802  5121464  55.16
1950-1959       19      0.00107  0.00107  0.50   92756      99   92706  5028662  54.21
1950-1959       20      0.00125  0.00125  0.50   92656     115   92599  4935956  53.27
1950-1959       21      0.00127  0.00127  0.50   92541     118   92482  4843357  52.34
1950-1959       22      0.00140  0.00140  0.50   92423     130   92359  4750875  51.40
1950-1959       23      0.00129  0.00129  0.50   92294     119   92234  4658517  50.47
1950-1959       24      0.00131  0.00131  0.50   92175     121   92114  4566282  49.54
1950-1959       25      0.00130  0.00130  0.50   92053     120   91994  4474168  48.60
1950-1959       26      0.00145  0.00145  0.50   91934     133   91867  4382175  47.67
1950-1959       27      0.00142  0.00142  0.50   91801     131   91735  4290307  46.73
1950-1959       28      0.00152  0.00151  0.50   91670     139   91601  4198572  45.80
